model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
enriched_species_only_head,0,0,5-Fluorocytosine,49,0.5
enriched_species_only_head,0,1,Amikacin,8846,0.8661935342447207
enriched_species_only_head,0,2,Amoxicillin,34,0.894736842105263
enriched_species_only_head,0,3,Amoxicillin-Clavulanic acid,5778,0.9089935696050592
enriched_species_only_head,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.8727272727272727
enriched_species_only_head,0,5,Ampicillin,4228,0.9580557699584389
enriched_species_only_head,0,6,Anidulafungin,51,0.7243589743589743
enriched_species_only_head,0,7,Azithromycin,44,0.8932291666666666
enriched_species_only_head,0,8,Aztreonam,4270,0.8474932107037534
enriched_species_only_head,0,9,Benzylpenicillin,140,0.874539790427641
enriched_species_only_head,0,10,Caspofungin,53,1.0
enriched_species_only_head,0,11,Cefazolin,1901,0.9312953140202755
enriched_species_only_head,0,12,Cefepime,10025,0.8761125933906233
enriched_species_only_head,0,13,Cefixime,2956,0.7624324552516042
enriched_species_only_head,0,14,Cefotaxime,3816,0.8816883969636475
enriched_species_only_head,0,15,Cefoxitin,1210,0.9554050781934924
enriched_species_only_head,0,16,Cefpodoxime,1291,0.8986623722527987
enriched_species_only_head,0,17,Ceftazidime,7669,0.8287626220948551
enriched_species_only_head,0,18,Ceftolozane-Tazobactam,17,0.7333333333333334
enriched_species_only_head,0,19,Ceftriaxone,5372,0.8858980796075677
enriched_species_only_head,0,20,Cefuroxime,6700,0.8729911944055946
enriched_species_only_head,0,21,Chloramphenicol,1562,0.9548108103703945
enriched_species_only_head,0,22,Ciprofloxacin,12143,0.8733242799560323
enriched_species_only_head,0,23,Clarithromycin,268,0.8202651515151514
enriched_species_only_head,0,24,Clindamycin,3313,0.9059865452698674
enriched_species_only_head,0,25,Colistin,7703,0.977107406454831
enriched_species_only_head,0,26,Cotrimoxazol,299,0.7461712989222915
enriched_species_only_head,0,27,Cotrimoxazole,5566,0.8630983565549011
enriched_species_only_head,0,28,Daptomycin,3529,0.8971110295017751
enriched_species_only_head,0,29,Doxycycline,156,0.7220394736842105
enriched_species_only_head,0,30,Ertapenem,7256,0.9259435449957947
enriched_species_only_head,0,31,Erythromycin,3402,0.8980029989094874
enriched_species_only_head,0,32,Fluconazole,51,0.38
enriched_species_only_head,0,33,Fosfomycin,5947,0.7379928296599647
enriched_species_only_head,0,34,Fusidic acid,2472,0.8554652206230672
enriched_species_only_head,0,35,Gentamicin,8248,0.9137364946612057
enriched_species_only_head,0,36,Gentamicin_high_level,141,0.7959866220735785
enriched_species_only_head,0,37,Imipenem,11454,0.9668048342169963
enriched_species_only_head,0,38,Itraconazole,46,0.7083333333333334
enriched_species_only_head,0,39,Levofloxacin,9155,0.8876518794441819
enriched_species_only_head,0,40,Linezolid,3888,0.9082722313667342
enriched_species_only_head,0,41,Meropenem,9736,0.9277220524376772
enriched_species_only_head,0,42,Meropenem_with_meningitis,26,0.6041666666666666
enriched_species_only_head,0,43,Meropenem_without_meningitis,17,0.33333333333333337
enriched_species_only_head,0,44,Micafungin,52,0.8367346938775511
enriched_species_only_head,0,45,Minocycline,1925,0.8748571841222272
enriched_species_only_head,0,46,Moxifloxacin,196,0.989968080255358
enriched_species_only_head,0,47,Mupirocin,1644,0.9643790583755106
enriched_species_only_head,0,48,Nitrofurantoin,4290,0.8853274215110566
enriched_species_only_head,0,49,Norfloxacin,4999,0.8642001420247658
enriched_species_only_head,0,50,Oxacillin,3116,0.918301451634785
enriched_species_only_head,0,51,Penicillin,3416,0.9459610698215277
enriched_species_only_head,0,52,Penicillin_with_meningitis,59,0.8480392156862746
enriched_species_only_head,0,53,Penicillin_with_other_infections,59,0.8269230769230769
enriched_species_only_head,0,54,Penicillin_with_pneumonia,59,0.9310344827586207
enriched_species_only_head,0,55,Piperacillin,3757,0.9207577327736112
enriched_species_only_head,0,56,Piperacillin-Tazobactam,5912,0.8550064383300191
enriched_species_only_head,0,57,Polymyxin B,501,0.9993014727283311
enriched_species_only_head,0,58,Posaconazole,48,0.3043478260869565
enriched_species_only_head,0,59,Pristinamycin,1333,0.9657757168491595
enriched_species_only_head,0,60,Rifampicin,2294,0.9098906107566089
enriched_species_only_head,0,61,Strepomycin_high_level,12,0.75
enriched_species_only_head,0,62,Teicoplanin,2830,0.9541187925998054
enriched_species_only_head,0,63,Tetracycline,3321,0.9100648266662704
enriched_species_only_head,0,64,Ticarcillin,1720,0.9202798689718947
enriched_species_only_head,0,65,Tigecycline,3683,0.9910941723429559
enriched_species_only_head,0,66,Tobramycin,9022,0.8847658028388454
enriched_species_only_head,0,67,Vancomycin,4169,0.9770126091173618
enriched_species_only_head,0,68,Voriconazole,53,0.7884615384615384
enriched_species_only_head,1,0,5-Fluorocytosine,73,0.6111111111111112
enriched_species_only_head,1,1,Amikacin,8917,0.8865953621819899
enriched_species_only_head,1,2,Amoxicillin,41,0.8848039215686274
enriched_species_only_head,1,3,Amoxicillin-Clavulanic acid,5737,0.9139537912800416
enriched_species_only_head,1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,0.8333333333333334
enriched_species_only_head,1,5,Ampicillin,4266,0.9519737965390139
enriched_species_only_head,1,6,Anidulafungin,74,0.4736842105263158
enriched_species_only_head,1,7,Azithromycin,35,0.7991452991452991
enriched_species_only_head,1,8,Aztreonam,4334,0.861734608151903
enriched_species_only_head,1,9,Benzylpenicillin,140,0.886302294197031
enriched_species_only_head,1,10,Caspofungin,74,0.9821428571428572
enriched_species_only_head,1,11,Cefazolin,1972,0.9353945894265112
enriched_species_only_head,1,12,Cefepime,10149,0.8908487262299528
enriched_species_only_head,1,13,Cefixime,2987,0.7922342035565646
enriched_species_only_head,1,14,Cefotaxime,3914,0.8912574909927036
enriched_species_only_head,1,15,Cefoxitin,1301,0.9631891561115861
enriched_species_only_head,1,16,Cefpodoxime,1283,0.9153276493414221
enriched_species_only_head,1,17,Ceftazidime,7734,0.849428839996713
enriched_species_only_head,1,18,Ceftolozane-Tazobactam,21,0.39999999999999997
enriched_species_only_head,1,19,Ceftriaxone,5337,0.9026498073209104
enriched_species_only_head,1,20,Cefuroxime,6803,0.8892954373741896
enriched_species_only_head,1,21,Chloramphenicol,1574,0.9476557541699786
enriched_species_only_head,1,22,Ciprofloxacin,12253,0.8733912128431796
enriched_species_only_head,1,23,Clarithromycin,269,0.7262624611864684
enriched_species_only_head,1,24,Clindamycin,3353,0.9015090485473141
enriched_species_only_head,1,25,Colistin,7730,0.9749495073251505
enriched_species_only_head,1,26,Cotrimoxazol,290,0.815751960085531
enriched_species_only_head,1,27,Cotrimoxazole,5544,0.8486531488601883
enriched_species_only_head,1,28,Daptomycin,3547,0.8104716624089318
enriched_species_only_head,1,29,Doxycycline,171,0.5528120713305898
enriched_species_only_head,1,30,Ertapenem,7258,0.9287921112860433
enriched_species_only_head,1,31,Erythromycin,3453,0.8943062384296752
enriched_species_only_head,1,32,Fluconazole,74,0.6260869565217392
enriched_species_only_head,1,33,Fosfomycin,6008,0.7442616818449284
enriched_species_only_head,1,34,Fusidic acid,2522,0.8757078644814089
enriched_species_only_head,1,35,Gentamicin,8376,0.9115955583258405
enriched_species_only_head,1,36,Gentamicin_high_level,119,0.7898876404494382
enriched_species_only_head,1,37,Imipenem,11492,0.9689941532838108
enriched_species_only_head,1,38,Itraconazole,72,0.7366362451108214
enriched_species_only_head,1,39,Levofloxacin,9073,0.8850537429265374
enriched_species_only_head,1,40,Linezolid,3827,0.9620319455354805
enriched_species_only_head,1,41,Meropenem,9788,0.9433658812049786
enriched_species_only_head,1,42,Meropenem_with_meningitis,27,0.375
enriched_species_only_head,1,43,Micafungin,74,0.8651960784313726
enriched_species_only_head,1,44,Minocycline,1955,0.8783923132178514
enriched_species_only_head,1,45,Moxifloxacin,159,0.9947076612903226
enriched_species_only_head,1,46,Mupirocin,1683,0.9537766793092795
enriched_species_only_head,1,47,Nitrofurantoin,4222,0.8953310509565426
enriched_species_only_head,1,48,Norfloxacin,4927,0.8669967269273515
enriched_species_only_head,1,49,Oxacillin,3152,0.9207782807701641
enriched_species_only_head,1,50,Penicillin,3445,0.950241400410717
enriched_species_only_head,1,51,Penicillin_with_meningitis,62,0.7645211930926217
enriched_species_only_head,1,52,Penicillin_with_other_infections,62,0.7700534759358288
enriched_species_only_head,1,53,Penicillin_with_pneumonia,62,0.7666666666666666
enriched_species_only_head,1,54,Piperacillin,3835,0.9262981217454578
enriched_species_only_head,1,55,Piperacillin-Tazobactam,5893,0.8770616726372351
enriched_species_only_head,1,56,Polymyxin B,516,1.0
enriched_species_only_head,1,57,Posaconazole,73,0.6794117647058824
enriched_species_only_head,1,58,Pristinamycin,1304,0.9644687368952258
enriched_species_only_head,1,59,Rifampicin,2366,0.9090347463844283
enriched_species_only_head,1,60,Strepomycin_high_level,14,0.3111111111111111
enriched_species_only_head,1,61,Teicoplanin,2793,0.9346566654470058
enriched_species_only_head,1,62,Tetracycline,3328,0.9079716562985852
enriched_species_only_head,1,63,Ticarcillin,1766,0.9217355583695127
enriched_species_only_head,1,64,Tigecycline,3688,0.992397741816339
enriched_species_only_head,1,65,Tobramycin,9055,0.8884473563258739
enriched_species_only_head,1,66,Vancomycin,4145,0.9421626016260163
enriched_species_only_head,1,67,Voriconazole,73,0.5289855072463768
enriched_species_only_head,2,0,5-Fluorocytosine,58,0.9649122807017544
enriched_species_only_head,2,1,Amikacin,8802,0.8889197671248216
enriched_species_only_head,2,2,Amoxicillin,42,0.9024943310657596
enriched_species_only_head,2,3,Amoxicillin-Clavulanic acid,5820,0.9097301823604584
enriched_species_only_head,2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,1.0
enriched_species_only_head,2,5,Ampicillin,4212,0.9591029642013709
enriched_species_only_head,2,6,Anidulafungin,62,0.5833333333333334
enriched_species_only_head,2,7,Azithromycin,45,0.8333333333333334
enriched_species_only_head,2,8,Aztreonam,4173,0.8558219025466718
enriched_species_only_head,2,9,Benzylpenicillin,142,0.868421052631579
enriched_species_only_head,2,10,Caspofungin,64,1.0
enriched_species_only_head,2,11,Cefazolin,1942,0.9278681801003229
enriched_species_only_head,2,12,Cefepime,9968,0.8852302926375395
enriched_species_only_head,2,13,Cefixime,2913,0.797652264210574
enriched_species_only_head,2,14,Cefotaxime,3748,0.8944887317849469
enriched_species_only_head,2,15,Cefoxitin,1197,0.9535759663438461
enriched_species_only_head,2,16,Cefpodoxime,1323,0.9075337402580945
enriched_species_only_head,2,17,Ceftazidime,7626,0.8488530900240768
enriched_species_only_head,2,18,Ceftolozane-Tazobactam,21,0.7037037037037037
enriched_species_only_head,2,19,Ceftriaxone,5427,0.895602294354209
enriched_species_only_head,2,20,Cefuroxime,6671,0.8790774915399691
enriched_species_only_head,2,21,Chloramphenicol,1534,0.9510645079041306
enriched_species_only_head,2,22,Ciprofloxacin,12152,0.8731533419798007
enriched_species_only_head,2,23,Clarithromycin,277,0.783266577659101
enriched_species_only_head,2,24,Clindamycin,3393,0.8977488991650574
enriched_species_only_head,2,25,Colistin,7609,0.9756883571437451
enriched_species_only_head,2,26,Cotrimoxazol,298,0.8477492559523809
enriched_species_only_head,2,27,Cotrimoxazole,5643,0.8604702359322014
enriched_species_only_head,2,28,Daptomycin,3593,0.887697968325068
enriched_species_only_head,2,29,Doxycycline,166,0.5678346810422281
enriched_species_only_head,2,30,Ertapenem,7205,0.9204664689056508
enriched_species_only_head,2,31,Erythromycin,3507,0.8945494355500014
enriched_species_only_head,2,32,Fluconazole,62,0.7213114754098361
enriched_species_only_head,2,33,Fosfomycin,5901,0.7464326527152477
enriched_species_only_head,2,34,Fusidic acid,2535,0.8465241114526216
enriched_species_only_head,2,35,Gentamicin,8265,0.9084182219072369
enriched_species_only_head,2,36,Gentamicin_high_level,140,0.7601246105919003
enriched_species_only_head,2,37,Imipenem,11485,0.9715366911862532
enriched_species_only_head,2,38,Itraconazole,56,0.6586538461538461
enriched_species_only_head,2,39,Levofloxacin,9167,0.8888127385446256
enriched_species_only_head,2,40,Linezolid,3965,0.9100421940928269
enriched_species_only_head,2,41,Meropenem,9688,0.9511205706387328
enriched_species_only_head,2,42,Meropenem_with_meningitis,23,0.5
enriched_species_only_head,2,43,Micafungin,62,0.9378531073446328
enriched_species_only_head,2,44,Minocycline,1938,0.8795730842318834
enriched_species_only_head,2,45,Moxifloxacin,175,0.9859847105933746
enriched_species_only_head,2,46,Mupirocin,1653,0.9617174515235457
enriched_species_only_head,2,47,Nitrofurantoin,4235,0.898140706932349
enriched_species_only_head,2,48,Norfloxacin,5007,0.8703009396575873
enriched_species_only_head,2,49,Oxacillin,3157,0.9138947477899115
enriched_species_only_head,2,50,Penicillin,3495,0.9544386832249647
enriched_species_only_head,2,51,Penicillin_with_meningitis,54,0.6622889305816135
enriched_species_only_head,2,52,Penicillin_with_other_infections,54,0.6190476190476191
enriched_species_only_head,2,53,Penicillin_with_pneumonia,54,0.7884615384615385
enriched_species_only_head,2,54,Piperacillin,3680,0.9243528828449485
enriched_species_only_head,2,55,Piperacillin-Tazobactam,5915,0.8751731955215185
enriched_species_only_head,2,56,Polymyxin B,505,0.9987951807228916
enriched_species_only_head,2,57,Posaconazole,61,0.5
enriched_species_only_head,2,58,Pristinamycin,1358,0.9647922616507457
enriched_species_only_head,2,59,Rifampicin,2354,0.8850026793411151
enriched_species_only_head,2,60,Strepomycin_high_level,21,0.6923076923076923
enriched_species_only_head,2,61,Teicoplanin,2891,0.9509833636424867
enriched_species_only_head,2,62,Tetracycline,3378,0.9076334261436849
enriched_species_only_head,2,63,Ticarcillin,1676,0.9239494185994628
enriched_species_only_head,2,64,Tigecycline,3713,0.9923737293238409
enriched_species_only_head,2,65,Tobramycin,8954,0.8862948277457064
enriched_species_only_head,2,66,Vancomycin,4271,0.9697504502186776
enriched_species_only_head,2,67,Voriconazole,62,0.9016393442622951
enriched_species_only_head,3,0,Amikacin,8823,0.8785436910067802
enriched_species_only_head,3,1,Amoxicillin,51,0.9580745341614906
enriched_species_only_head,3,2,Amoxicillin-Clavulanic acid,5725,0.9177238243981457
enriched_species_only_head,3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8
enriched_species_only_head,3,4,Ampicillin,4313,0.9575605653659574
enriched_species_only_head,3,5,Anidulafungin,54,0.7480158730158729
enriched_species_only_head,3,6,Azithromycin,40,0.765625
enriched_species_only_head,3,7,Aztreonam,4371,0.8534868717982717
enriched_species_only_head,3,8,Benzylpenicillin,128,0.8653571428571429
enriched_species_only_head,3,9,Caspofungin,58,1.0
enriched_species_only_head,3,10,Cefazolin,1929,0.9310221837103556
enriched_species_only_head,3,11,Cefepime,10035,0.8876023191851312
enriched_species_only_head,3,12,Cefixime,2989,0.7837546358167364
enriched_species_only_head,3,13,Cefotaxime,3940,0.8878069805818887
enriched_species_only_head,3,14,Cefoxitin,1292,0.9556072090773754
enriched_species_only_head,3,15,Cefpodoxime,1199,0.8972117794486216
enriched_species_only_head,3,16,Ceftazidime,7704,0.8481385082319497
enriched_species_only_head,3,17,Ceftolozane-Tazobactam,21,0.8777777777777778
enriched_species_only_head,3,18,Ceftriaxone,5315,0.9021315192743764
enriched_species_only_head,3,19,Cefuroxime,6829,0.8844498528724254
enriched_species_only_head,3,20,Chloramphenicol,1588,0.9567501443376758
enriched_species_only_head,3,21,Ciprofloxacin,12182,0.8685591213741114
enriched_species_only_head,3,22,Clarithromycin,255,0.7775542141739324
enriched_species_only_head,3,23,Clindamycin,3291,0.8883075166389258
enriched_species_only_head,3,24,Colistin,7688,0.9719472741370551
enriched_species_only_head,3,25,Cotrimoxazol,278,0.8987674837280155
enriched_species_only_head,3,26,Cotrimoxazole,5542,0.8580137259218833
enriched_species_only_head,3,27,Daptomycin,3499,0.8832494004796164
enriched_species_only_head,3,28,Doxycycline,170,0.5606249999999999
enriched_species_only_head,3,29,Ertapenem,7306,0.9276041035583021
enriched_species_only_head,3,30,Erythromycin,3406,0.8856140514531233
enriched_species_only_head,3,31,Fluconazole,57,0.28181818181818186
enriched_species_only_head,3,32,Fosfomycin,6020,0.7439093944597938
enriched_species_only_head,3,33,Fusidic acid,2495,0.8517456553904406
enriched_species_only_head,3,34,Gentamicin,8366,0.9121058411623562
enriched_species_only_head,3,35,Gentamicin_high_level,124,0.8545833333333335
enriched_species_only_head,3,36,Imipenem,11428,0.9691763035548957
enriched_species_only_head,3,37,Itraconazole,51,0.6493506493506493
enriched_species_only_head,3,38,Levofloxacin,9067,0.8810971104011358
enriched_species_only_head,3,39,Linezolid,3828,0.918719426974144
enriched_species_only_head,3,40,Meropenem,9704,0.9425858737064701
enriched_species_only_head,3,41,Meropenem_with_meningitis,28,0.8521739130434782
enriched_species_only_head,3,42,Meropenem_without_meningitis,21,1.0
enriched_species_only_head,3,43,Micafungin,54,1.0
enriched_species_only_head,3,44,Minocycline,1929,0.8844537761788579
enriched_species_only_head,3,45,Moxifloxacin,173,0.9888111888111889
enriched_species_only_head,3,46,Mupirocin,1616,0.9625724029664916
enriched_species_only_head,3,47,Nitrofurantoin,4211,0.8869730608583524
enriched_species_only_head,3,48,Norfloxacin,4954,0.8575820910840728
enriched_species_only_head,3,49,Oxacillin,3079,0.9226678002679101
enriched_species_only_head,3,50,Penicillin,3455,0.9430052841455988
enriched_species_only_head,3,51,Penicillin_with_meningitis,37,0.775
enriched_species_only_head,3,52,Penicillin_with_other_infections,37,0.775
enriched_species_only_head,3,53,Penicillin_with_pneumonia,37,1.0
enriched_species_only_head,3,54,Piperacillin,3796,0.9275601809810576
enriched_species_only_head,3,55,Piperacillin-Tazobactam,5768,0.8835880055147057
enriched_species_only_head,3,56,Polymyxin B,524,1.0
enriched_species_only_head,3,57,Posaconazole,51,0.07999999999999996
enriched_species_only_head,3,58,Pristinamycin,1295,0.9715551124212474
enriched_species_only_head,3,59,Rifampicin,2321,0.8821697616376251
enriched_species_only_head,3,60,Strepomycin_high_level,18,0.4615384615384615
enriched_species_only_head,3,61,Teicoplanin,2790,0.9519649446494465
enriched_species_only_head,3,62,Tetracycline,3294,0.9109951562069524
enriched_species_only_head,3,63,Ticarcillin,1814,0.9331636050753463
enriched_species_only_head,3,64,Tigecycline,3680,0.9943679180725284
enriched_species_only_head,3,65,Tobramycin,8998,0.882807555515088
enriched_species_only_head,3,66,Vancomycin,4127,0.9538733736185966
enriched_species_only_head,3,67,Voriconazole,56,0.018181818181818188
enriched_species_only_head,4,0,5-Fluorocytosine,63,0.32258064516129037
enriched_species_only_head,4,1,Amikacin,8944,0.8819974764207055
enriched_species_only_head,4,2,Amoxicillin,33,0.8713235294117647
enriched_species_only_head,4,3,Amoxicillin-Clavulanic acid,5677,0.9109504169213364
enriched_species_only_head,4,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,13,1.0
enriched_species_only_head,4,5,Ampicillin,4247,0.9575596159565625
enriched_species_only_head,4,6,Anidulafungin,63,0.5495626822157434
enriched_species_only_head,4,7,Azithromycin,40,0.8049450549450549
enriched_species_only_head,4,8,Aztreonam,4324,0.8317326765405977
enriched_species_only_head,4,9,Benzylpenicillin,134,0.9289083557951483
enriched_species_only_head,4,10,Caspofungin,66,0.8830645161290323
enriched_species_only_head,4,11,Cefazolin,1854,0.928391826515023
enriched_species_only_head,4,12,Cefepime,10036,0.8786521336383069
enriched_species_only_head,4,13,Cefixime,3028,0.7617864582127258
enriched_species_only_head,4,14,Cefotaxime,3898,0.8735723510584537
enriched_species_only_head,4,15,Cefoxitin,1210,0.9565704014446761
enriched_species_only_head,4,16,Cefpodoxime,1277,0.9033662423519369
enriched_species_only_head,4,17,Ceftazidime,7747,0.8390980482734729
enriched_species_only_head,4,18,Ceftazidime-Avibactam,7,0.8333333333333334
enriched_species_only_head,4,19,Ceftobiprole,5,1.0
enriched_species_only_head,4,20,Ceftolozane-Tazobactam,13,0.7272727272727273
enriched_species_only_head,4,21,Ceftriaxone,5322,0.8939119066429136
enriched_species_only_head,4,22,Cefuroxime,6755,0.8797162558801654
enriched_species_only_head,4,23,Chloramphenicol,1570,0.9450406444271475
enriched_species_only_head,4,24,Ciprofloxacin,12231,0.8715729926368105
enriched_species_only_head,4,25,Clarithromycin,247,0.7623608830505382
enriched_species_only_head,4,26,Clindamycin,3303,0.8974190379326342
enriched_species_only_head,4,27,Colistin,7746,0.9806290775494957
enriched_species_only_head,4,28,Cotrimoxazol,268,0.8772749042145594
enriched_species_only_head,4,29,Cotrimoxazole,5518,0.8618150131666101
enriched_species_only_head,4,30,Daptomycin,3530,0.9200693712680015
enriched_species_only_head,4,31,Doxycycline,159,0.7070024570024569
