model_mode,antibiotic,mean_auc,std_auc,mean_n_val_pairs,n_folds
enriched_implicit_hypernetwork,5-Fluorocytosine,0.37904110073571023,0.10752570414554287,60.75,4
enriched_implicit_hypernetwork,Amikacin,0.8816523014617512,0.004871336264301415,8866.4,5
enriched_implicit_hypernetwork,Amoxicillin,0.8974706213530416,0.022756744528843412,40.2,5
enriched_implicit_hypernetwork,Amoxicillin-Clavulanic acid,0.9120649659909439,0.006155238047222973,5747.4,5
enriched_implicit_hypernetwork,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.8514545454545456,0.10118226741711922,16.0,5
enriched_implicit_hypernetwork,Ampicillin,0.9580611224849745,0.00302531550376625,4253.2,5
enriched_implicit_hypernetwork,Anidulafungin,0.6690229806979665,0.09712000943243848,60.8,5
enriched_implicit_hypernetwork,Azithromycin,0.7726783043345543,0.03129976914378333,40.8,5
enriched_implicit_hypernetwork,Aztreonam,0.8515699439717264,0.0109305824826764,4294.4,5
enriched_implicit_hypernetwork,Benzylpenicillin,0.8788911790412547,0.04641502007415217,136.8,5
enriched_implicit_hypernetwork,Caspofungin,0.963978349708721,0.037929368285432814,63.0,5
enriched_implicit_hypernetwork,Cefazolin,0.9318704113560573,0.00662964907041463,1919.6,5
enriched_implicit_hypernetwork,Cefepime,0.884563070814376,0.00720335464021927,10042.6,5
enriched_implicit_hypernetwork,Cefixime,0.7873422446797875,0.012355397797720151,2974.6,5
enriched_implicit_hypernetwork,Cefotaxime,0.8905960507067675,0.006654818501175816,3863.2,5
enriched_implicit_hypernetwork,Cefoxitin,0.9545820878585648,0.006974360342539083,1242.0,5
enriched_implicit_hypernetwork,Cefpodoxime,0.9057527214093252,0.015686726938579195,1274.6,5
enriched_implicit_hypernetwork,Ceftazidime,0.8455880283535018,0.00921382174890836,7696.0,5
enriched_implicit_hypernetwork,Ceftazidime-Avibactam,1.0,,7.0,1
enriched_implicit_hypernetwork,Ceftobiprole,1.0,,5.0,1
