model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
enriched_species_only_head,0,0,Campylobacter_Jejuni,81,190,0.8845486111111113
enriched_species_only_head,0,1,Candida_Albicans,53,403,0.8284761904761905
enriched_species_only_head,0,2,Citrobacter_Freundii,131,2099,0.8944674397716399
enriched_species_only_head,0,3,Citrobacter_Koseri,160,2567,0.9509780377270791
enriched_species_only_head,0,4,Enterobacter_Cloacae,345,5131,0.8937878782625579
enriched_species_only_head,0,5,Enterococcus_Faecalis,925,14081,0.9880550349544504
enriched_species_only_head,0,6,Enterococcus_Faecium,465,5028,0.9788242590565387
enriched_species_only_head,0,7,Escherichia_Coli,1533,24374,0.8587201268062032
enriched_species_only_head,0,8,Haemophilus_Influenzae,170,579,0.8325337331334333
enriched_species_only_head,0,9,Klebsiella_Oxytoca,238,3941,0.9145768515720908
enriched_species_only_head,0,10,Klebsiella_Pneumoniae,3850,68001,0.8721184463348921
enriched_species_only_head,0,11,Klebsiella_Variicola,147,2349,0.9424046200797103
enriched_species_only_head,0,12,Morganella_Morganii,158,2619,0.9146531762810832
enriched_species_only_head,0,13,Proteus_Mirabilis,473,8711,0.9078317448887167
enriched_species_only_head,0,14,Proteus_Vulgaris,86,1274,0.9863149969198475
enriched_species_only_head,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9514952145039418
enriched_species_only_head,0,16,Serratia_Marcescens,245,3807,0.9707643211586681
enriched_species_only_head,0,17,Staphylococcus_Aureus,1413,27955,0.9148269668885028
enriched_species_only_head,0,18,Staphylococcus_Capitis,89,1827,0.9478719748662316
enriched_species_only_head,0,19,Staphylococcus_Epidermidis,1128,22712,0.9239881928193409
enriched_species_only_head,0,20,Staphylococcus_Haemolyticus,55,1205,0.9604446357330861
enriched_species_only_head,0,21,Staphylococcus_Hominis,174,3715,0.8791133959107083
enriched_species_only_head,0,22,Staphylococcus_Lugdunensis,104,2135,0.8439933403298739
enriched_species_only_head,0,23,Stenotrophomonas_Maltophilia,131,609,0.9844656477309538
enriched_species_only_head,0,24,Streptococcus_Pneumoniae,123,1304,0.8708056880226691
enriched_species_only_head,1,0,Campylobacter_Jejuni,93,222,0.9306794152799485
enriched_species_only_head,1,1,Candida_Albicans,74,587,0.7751879699248121
enriched_species_only_head,1,2,Citrobacter_Freundii,133,2208,0.8669761437713331
enriched_species_only_head,1,3,Citrobacter_Koseri,165,2677,0.9695489911864181
enriched_species_only_head,1,4,Enterobacter_Cloacae,311,4634,0.9013992122239005
enriched_species_only_head,1,5,Enterococcus_Faecalis,895,14085,0.9856246008977739
enriched_species_only_head,1,6,Enterococcus_Faecium,428,4553,0.9806269206107591
enriched_species_only_head,1,7,Escherichia_Coli,1578,25297,0.8556706744668481
enriched_species_only_head,1,8,Haemophilus_Influenzae,166,532,0.8771252307393375
enriched_species_only_head,1,9,Klebsiella_Oxytoca,251,4169,0.9238167186189058
enriched_species_only_head,1,10,Klebsiella_Pneumoniae,3838,67924,0.8819784664514824
enriched_species_only_head,1,11,Klebsiella_Variicola,112,1766,0.9440604863853669
enriched_species_only_head,1,12,Morganella_Morganii,166,2727,0.9377435757554545
enriched_species_only_head,1,13,Proteus_Mirabilis,482,8700,0.9126241416589936
enriched_species_only_head,1,14,Proteus_Vulgaris,93,1370,0.9735601218718876
enriched_species_only_head,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9390977486357375
enriched_species_only_head,1,16,Serratia_Marcescens,244,3880,0.9681174771271737
enriched_species_only_head,1,17,Staphylococcus_Aureus,1488,29631,0.921835914937334
enriched_species_only_head,1,18,Staphylococcus_Capitis,90,1799,0.9403183965484284
enriched_species_only_head,1,19,Staphylococcus_Epidermidis,1137,23116,0.9374029641953445
enriched_species_only_head,1,20,Staphylococcus_Haemolyticus,56,1236,0.9290685026980792
enriched_species_only_head,1,21,Staphylococcus_Hominis,149,3117,0.8644726966489805
enriched_species_only_head,1,22,Staphylococcus_Lugdunensis,89,1763,0.9235360948480434
enriched_species_only_head,1,23,Stenotrophomonas_Maltophilia,122,740,0.970654028873207
enriched_species_only_head,1,24,Streptococcus_Pneumoniae,98,921,0.8145278216322452
enriched_species_only_head,2,0,Campylobacter_Jejuni,100,229,0.904274921687857
enriched_species_only_head,2,1,Candida_Albicans,64,487,0.8791216126017888
enriched_species_only_head,2,2,Citrobacter_Freundii,115,1855,0.8885376739301654
enriched_species_only_head,2,3,Citrobacter_Koseri,171,2732,0.9330662147015164
enriched_species_only_head,2,4,Enterobacter_Cloacae,324,4816,0.9179231125261224
enriched_species_only_head,2,5,Enterococcus_Faecalis,981,14954,0.988169880583625
enriched_species_only_head,2,6,Enterococcus_Faecium,462,4954,0.9746417847279113
enriched_species_only_head,2,7,Escherichia_Coli,1539,24279,0.8609118335365581
enriched_species_only_head,2,8,Haemophilus_Influenzae,152,452,0.8571823204419889
enriched_species_only_head,2,9,Klebsiella_Oxytoca,243,4043,0.9390118964832108
enriched_species_only_head,2,10,Klebsiella_Pneumoniae,3813,67329,0.8765054135009932
enriched_species_only_head,2,11,Klebsiella_Variicola,141,2205,0.9318187737667344
enriched_species_only_head,2,12,Morganella_Morganii,159,2628,0.9395049363097953
enriched_species_only_head,2,13,Proteus_Mirabilis,465,8526,0.910023134442314
enriched_species_only_head,2,14,Proteus_Vulgaris,110,1667,0.9815628377520971
enriched_species_only_head,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9502311698836737
enriched_species_only_head,2,16,Serratia_Marcescens,244,3890,0.9658525504697816
enriched_species_only_head,2,17,Staphylococcus_Aureus,1454,28377,0.9242208338102242
enriched_species_only_head,2,18,Staphylococcus_Capitis,78,1703,0.888235294117647
enriched_species_only_head,2,19,Staphylococcus_Epidermidis,1169,23774,0.9304233929308067
enriched_species_only_head,2,20,Staphylococcus_Haemolyticus,60,1334,0.9124887610142061
enriched_species_only_head,2,21,Staphylococcus_Hominis,172,3606,0.8769245502865077
enriched_species_only_head,2,22,Staphylococcus_Lugdunensis,90,1820,0.9567061401443986
enriched_species_only_head,2,23,Stenotrophomonas_Maltophilia,130,722,0.9784731934731935
enriched_species_only_head,2,24,Streptococcus_Pneumoniae,112,1223,0.8242781441670144
enriched_species_only_head,3,0,Campylobacter_Jejuni,97,258,0.8954407294832826
enriched_species_only_head,3,1,Candida_Albicans,58,381,0.8470079674521105
enriched_species_only_head,3,2,Citrobacter_Freundii,136,2168,0.914805608164983
enriched_species_only_head,3,3,Citrobacter_Koseri,181,2902,0.9698718655108238
enriched_species_only_head,3,4,Enterobacter_Cloacae,303,4464,0.9308318886843895
enriched_species_only_head,3,5,Enterococcus_Faecalis,896,13774,0.9879014326091233
enriched_species_only_head,3,6,Enterococcus_Faecium,444,4866,0.9741603796657288
enriched_species_only_head,3,7,Escherichia_Coli,1556,24761,0.8630192478524239
enriched_species_only_head,3,8,Haemophilus_Influenzae,203,679,0.8682062246410263
enriched_species_only_head,3,9,Klebsiella_Oxytoca,256,4222,0.9190873914654791
enriched_species_only_head,3,10,Klebsiella_Pneumoniae,3850,68131,0.8702070290666655
enriched_species_only_head,3,11,Klebsiella_Variicola,135,2144,0.9108196883258007
enriched_species_only_head,3,12,Morganella_Morganii,156,2560,0.928943013631679
enriched_species_only_head,3,13,Proteus_Mirabilis,457,8258,0.9160813818018453
enriched_species_only_head,3,14,Proteus_Vulgaris,83,1240,0.9637075841238378
enriched_species_only_head,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9514245249166496
enriched_species_only_head,3,16,Serratia_Marcescens,257,4001,0.9639001336280743
enriched_species_only_head,3,17,Staphylococcus_Aureus,1453,28324,0.936271846646765
enriched_species_only_head,3,18,Staphylococcus_Capitis,82,1753,0.9275115668084909
enriched_species_only_head,3,19,Staphylococcus_Epidermidis,1142,23131,0.9331849154902921
enriched_species_only_head,3,20,Staphylococcus_Haemolyticus,66,1369,0.9442207753291896
enriched_species_only_head,3,21,Staphylococcus_Hominis,160,3276,0.8543719016772517
enriched_species_only_head,3,22,Staphylococcus_Lugdunensis,96,1942,0.8483511289361086
enriched_species_only_head,3,23,Stenotrophomonas_Maltophilia,143,898,0.9834375025137351
enriched_species_only_head,3,24,Streptococcus_Pneumoniae,75,779,0.8910631741140216
enriched_species_only_head,4,0,Campylobacter_Jejuni,96,219,0.9274113685878391
enriched_species_only_head,4,1,Candida_Albicans,66,501,0.7671052631578948
enriched_species_only_head,4,2,Citrobacter_Freundii,132,2104,0.9225755278526505
enriched_species_only_head,4,3,Citrobacter_Koseri,174,2764,0.9750482320060475
enriched_species_only_head,4,4,Enterobacter_Cloacae,324,4832,0.9110033431840651
enriched_species_only_head,4,5,Enterococcus_Faecalis,935,14775,0.9873176832207734
enriched_species_only_head,4,6,Enterococcus_Faecium,439,4796,0.9751450460816468
enriched_species_only_head,4,7,Escherichia_Coli,1523,24120,0.8567438278570758
enriched_species_only_head,4,8,Haemophilus_Influenzae,151,470,0.8424747474747475
enriched_species_only_head,4,9,Klebsiella_Oxytoca,251,4109,0.937696228962152
enriched_species_only_head,4,10,Klebsiella_Pneumoniae,3914,69309,0.8692205669237089
enriched_species_only_head,4,11,Klebsiella_Variicola,130,2062,0.9027486652165315
enriched_species_only_head,4,12,Morganella_Morganii,174,2803,0.9267613662016343
enriched_species_only_head,4,13,Proteus_Mirabilis,495,8843,0.9192505644535744
enriched_species_only_head,4,14,Proteus_Vulgaris,63,923,0.9855020796197266
enriched_species_only_head,4,15,Pseudomonas_Aeruginosa,1057,12536,0.9530601229954916
enriched_species_only_head,4,16,Serratia_Marcescens,263,4114,0.96424039699496
enriched_species_only_head,4,17,Staphylococcus_Aureus,1433,27930,0.9289555209431759
enriched_species_only_head,4,18,Staphylococcus_Capitis,80,1590,0.9190760527969829
enriched_species_only_head,4,19,Staphylococcus_Epidermidis,1155,23351,0.9226514185856289
enriched_species_only_head,4,20,Staphylococcus_Haemolyticus,64,1371,0.929124457308249
enriched_species_only_head,4,21,Staphylococcus_Hominis,125,2611,0.8299733060299119
enriched_species_only_head,4,22,Staphylococcus_Lugdunensis,100,2090,0.9019180598575379
enriched_species_only_head,4,23,Stenotrophomonas_Maltophilia,130,839,0.981910288822493
enriched_species_only_head,4,24,Streptococcus_Pneumoniae,92,979,0.8457548099021605
enriched_implicit_hypernetwork,0,0,Campylobacter_Jejuni,81,190,0.8936011904761905
enriched_implicit_hypernetwork,0,1,Candida_Albicans,53,403,0.8646666666666667
enriched_implicit_hypernetwork,0,2,Citrobacter_Freundii,131,2099,0.8844273808159446
enriched_implicit_hypernetwork,0,3,Citrobacter_Koseri,160,2567,0.9482569624665919
enriched_implicit_hypernetwork,0,4,Enterobacter_Cloacae,345,5131,0.8957745367930547
enriched_implicit_hypernetwork,0,5,Enterococcus_Faecalis,925,14081,0.9893074412390731
enriched_implicit_hypernetwork,0,6,Enterococcus_Faecium,465,5028,0.975647644514383
enriched_implicit_hypernetwork,0,7,Escherichia_Coli,1533,24374,0.8645136291708687
enriched_implicit_hypernetwork,0,8,Haemophilus_Influenzae,170,579,0.8479197901049476
enriched_implicit_hypernetwork,0,9,Klebsiella_Oxytoca,238,3941,0.9116125941471567
enriched_implicit_hypernetwork,0,10,Klebsiella_Pneumoniae,3850,68001,0.8770324495106144
enriched_implicit_hypernetwork,0,11,Klebsiella_Variicola,147,2349,0.9226067485670317
enriched_implicit_hypernetwork,0,12,Morganella_Morganii,158,2619,0.9226922947853181
enriched_implicit_hypernetwork,0,13,Proteus_Mirabilis,473,8711,0.9167012872710039
enriched_implicit_hypernetwork,0,14,Proteus_Vulgaris,86,1274,0.9839786442766205
enriched_implicit_hypernetwork,0,15,Pseudomonas_Aeruginosa,1090,12698,0.950443429184329
enriched_implicit_hypernetwork,0,16,Serratia_Marcescens,245,3807,0.9749385421963492
enriched_implicit_hypernetwork,0,17,Staphylococcus_Aureus,1413,27955,0.9268705954963068
enriched_implicit_hypernetwork,0,18,Staphylococcus_Capitis,89,1827,0.9354449953365078
enriched_implicit_hypernetwork,0,19,Staphylococcus_Epidermidis,1128,22712,0.9246725567418418
enriched_implicit_hypernetwork,0,20,Staphylococcus_Haemolyticus,55,1205,0.9579532851065239
enriched_implicit_hypernetwork,0,21,Staphylococcus_Hominis,174,3715,0.8458307931992142
enriched_implicit_hypernetwork,0,22,Staphylococcus_Lugdunensis,104,2135,0.8313153496326816
enriched_implicit_hypernetwork,0,23,Stenotrophomonas_Maltophilia,131,609,0.9843625761993109
enriched_implicit_hypernetwork,0,24,Streptococcus_Pneumoniae,123,1304,0.8386982514341006
enriched_implicit_hypernetwork,1,0,Campylobacter_Jejuni,93,222,0.9065918911464557
enriched_implicit_hypernetwork,1,1,Candida_Albicans,74,587,0.859090909090909
enriched_implicit_hypernetwork,1,2,Citrobacter_Freundii,133,2208,0.8349714487846783
enriched_implicit_hypernetwork,1,3,Citrobacter_Koseri,165,2677,0.9636810449675947
enriched_implicit_hypernetwork,1,4,Enterobacter_Cloacae,311,4634,0.8896847690044957
enriched_implicit_hypernetwork,1,5,Enterococcus_Faecalis,895,14085,0.9856770735614129
enriched_implicit_hypernetwork,1,6,Enterococcus_Faecium,428,4553,0.9802789579567525
enriched_implicit_hypernetwork,1,7,Escherichia_Coli,1578,25297,0.8604708621359981
enriched_implicit_hypernetwork,1,8,Haemophilus_Influenzae,166,532,0.8576945496939669
enriched_implicit_hypernetwork,1,9,Klebsiella_Oxytoca,251,4169,0.9188809617106704
enriched_implicit_hypernetwork,1,10,Klebsiella_Pneumoniae,3838,67924,0.8805340622331246
enriched_implicit_hypernetwork,1,11,Klebsiella_Variicola,112,1766,0.829072264948382
enriched_implicit_hypernetwork,1,12,Morganella_Morganii,166,2727,0.9404459163758945
enriched_implicit_hypernetwork,1,13,Proteus_Mirabilis,482,8700,0.9078845385021259
enriched_implicit_hypernetwork,1,14,Proteus_Vulgaris,93,1370,0.9788745594272462
enriched_implicit_hypernetwork,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9366104252015881
enriched_implicit_hypernetwork,1,16,Serratia_Marcescens,244,3880,0.9671031938090643
enriched_implicit_hypernetwork,1,17,Staphylococcus_Aureus,1488,29631,0.9203856968075556
enriched_implicit_hypernetwork,1,18,Staphylococcus_Capitis,90,1799,0.9430026487534474
enriched_implicit_hypernetwork,1,19,Staphylococcus_Epidermidis,1137,23116,0.9353267295425374
enriched_implicit_hypernetwork,1,20,Staphylococcus_Haemolyticus,56,1236,0.9139215075451175
enriched_implicit_hypernetwork,1,21,Staphylococcus_Hominis,149,3117,0.8816847849282712
enriched_implicit_hypernetwork,1,22,Staphylococcus_Lugdunensis,89,1763,0.9213142391174881
enriched_implicit_hypernetwork,1,23,Stenotrophomonas_Maltophilia,122,740,0.9734675522346755
enriched_implicit_hypernetwork,1,24,Streptococcus_Pneumoniae,98,921,0.8082369430035119
enriched_implicit_hypernetwork,2,0,Campylobacter_Jejuni,100,229,0.9076838032061912
enriched_implicit_hypernetwork,2,1,Candida_Albicans,64,487,0.8124415965825658
enriched_implicit_hypernetwork,2,2,Citrobacter_Freundii,115,1855,0.894178699571191
enriched_implicit_hypernetwork,2,3,Citrobacter_Koseri,171,2732,0.9463860060874986
enriched_implicit_hypernetwork,2,4,Enterobacter_Cloacae,324,4816,0.9113055313107208
enriched_implicit_hypernetwork,2,5,Enterococcus_Faecalis,981,14954,0.9870240191936721
enriched_implicit_hypernetwork,2,6,Enterococcus_Faecium,462,4954,0.9747121326301154
enriched_implicit_hypernetwork,2,7,Escherichia_Coli,1539,24279,0.8494003957093605
enriched_implicit_hypernetwork,2,8,Haemophilus_Influenzae,152,452,0.84085328422345
enriched_implicit_hypernetwork,2,9,Klebsiella_Oxytoca,243,4043,0.9380128650904034
enriched_implicit_hypernetwork,2,10,Klebsiella_Pneumoniae,3813,67329,0.8735604775396066
enriched_implicit_hypernetwork,2,11,Klebsiella_Variicola,141,2205,0.96612100849091
enriched_implicit_hypernetwork,2,12,Morganella_Morganii,159,2628,0.9350138135552749
enriched_implicit_hypernetwork,2,13,Proteus_Mirabilis,465,8526,0.9078569587714421
enriched_implicit_hypernetwork,2,14,Proteus_Vulgaris,110,1667,0.9746754298066362
enriched_implicit_hypernetwork,2,15,Pseudomonas_Aeruginosa,1018,12053,0.95331187250006
enriched_implicit_hypernetwork,2,16,Serratia_Marcescens,244,3890,0.9644757411757237
enriched_implicit_hypernetwork,2,17,Staphylococcus_Aureus,1454,28377,0.9142301898978404
enriched_implicit_hypernetwork,2,18,Staphylococcus_Capitis,78,1703,0.8601397465063374
enriched_implicit_hypernetwork,2,19,Staphylococcus_Epidermidis,1169,23774,0.9258671424737395
enriched_implicit_hypernetwork,2,20,Staphylococcus_Haemolyticus,60,1334,0.9009643049811186
enriched_implicit_hypernetwork,2,21,Staphylococcus_Hominis,172,3606,0.8703372651673555
enriched_implicit_hypernetwork,2,22,Staphylococcus_Lugdunensis,90,1820,0.965038795852075
enriched_implicit_hypernetwork,2,23,Stenotrophomonas_Maltophilia,130,722,0.9715734265734266
enriched_implicit_hypernetwork,2,24,Streptococcus_Pneumoniae,112,1223,0.7902024658044932
enriched_implicit_hypernetwork,3,0,Campylobacter_Jejuni,97,258,0.885790273556231
enriched_implicit_hypernetwork,3,1,Candida_Albicans,58,381,0.8464994066790981
enriched_implicit_hypernetwork,3,2,Citrobacter_Freundii,136,2168,0.8864451809764309
enriched_implicit_hypernetwork,3,3,Citrobacter_Koseri,181,2902,0.9538718899990205
enriched_implicit_hypernetwork,3,4,Enterobacter_Cloacae,303,4464,0.9220020925135365
enriched_implicit_hypernetwork,3,5,Enterococcus_Faecalis,896,13774,0.9874177289649321
enriched_implicit_hypernetwork,3,6,Enterococcus_Faecium,444,4866,0.9745020470464913
enriched_implicit_hypernetwork,3,7,Escherichia_Coli,1556,24761,0.8595344756694738
enriched_implicit_hypernetwork,3,8,Haemophilus_Influenzae,203,679,0.8170873927937997
enriched_implicit_hypernetwork,3,9,Klebsiella_Oxytoca,256,4222,0.9270969673584355
enriched_implicit_hypernetwork,3,10,Klebsiella_Pneumoniae,3850,68131,0.8685834880909623
enriched_implicit_hypernetwork,3,11,Klebsiella_Variicola,135,2144,0.9518609073621298
enriched_implicit_hypernetwork,3,12,Morganella_Morganii,156,2560,0.9216570246177711
enriched_implicit_hypernetwork,3,13,Proteus_Mirabilis,457,8258,0.9120093383705948
enriched_implicit_hypernetwork,3,14,Proteus_Vulgaris,83,1240,0.9589237983687935
enriched_implicit_hypernetwork,3,15,Pseudomonas_Aeruginosa,1081,13062,0.9489502466306534
enriched_implicit_hypernetwork,3,16,Serratia_Marcescens,257,4001,0.9678661127841887
enriched_implicit_hypernetwork,3,17,Staphylococcus_Aureus,1453,28324,0.9316912438342101
enriched_implicit_hypernetwork,3,18,Staphylococcus_Capitis,82,1753,0.9293029690079281
enriched_implicit_hypernetwork,3,19,Staphylococcus_Epidermidis,1142,23131,0.9334829636059333
enriched_implicit_hypernetwork,3,20,Staphylococcus_Haemolyticus,66,1369,0.9181178404479375
enriched_implicit_hypernetwork,3,21,Staphylococcus_Hominis,160,3276,0.8195751635280888
enriched_implicit_hypernetwork,3,22,Staphylococcus_Lugdunensis,96,1942,0.8520830908263579
