fold,antibiotic_id,antibiotic,n_val_pairs,auc
0,0,5-Fluorocytosine,49,0.22916666666666663
0,1,Amikacin,8846,0.8691187819398429
0,2,Amoxicillin,34,0.8736842105263158
0,3,Amoxicillin-Clavulanic acid,5778,0.9110678227318572
0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9272727272727272
0,5,Ampicillin,4228,0.9575640698410898
0,6,Anidulafungin,51,0.6346153846153847
0,7,Azithromycin,44,0.640625
0,8,Aztreonam,4270,0.8415854951297078
0,9,Benzylpenicillin,140,0.8626451430189748
0,10,Caspofungin,53,1.0
0,11,Cefazolin,1901,0.9254103763221494
0,12,Cefepime,10025,0.8784752814694488
0,13,Cefixime,2956,0.7646898101242072
0,14,Cefotaxime,3816,0.8749992638788284
0,15,Cefoxitin,1210,0.9438882719502589
0,16,Cefpodoxime,1291,0.9197825283093692
0,17,Ceftazidime,7669,0.8345072069098312
0,18,Ceftolozane-Tazobactam,17,0.26666666666666666
0,19,Ceftriaxone,5372,0.8932022227729939
0,20,Cefuroxime,6700,0.8581680783216783
0,21,Chloramphenicol,1562,0.9515456189808854
0,22,Ciprofloxacin,12143,0.8640504716775659
0,23,Clarithromycin,268,0.8071022727272728
0,24,Clindamycin,3313,0.8878042587017805
0,25,Colistin,7703,0.9783299430272705
0,26,Cotrimoxazol,299,0.7526942711287579
0,27,Cotrimoxazole,5566,0.8542300893935962
0,28,Daptomycin,3529,0.8763108499612356
0,29,Doxycycline,156,0.5164473684210527
0,30,Ertapenem,7256,0.9166769606812447
0,31,Erythromycin,3402,0.8865324483119311
0,32,Fluconazole,51,0.5
0,33,Fosfomycin,5947,0.725698061501165
0,34,Fusidic acid,2472,0.8345956688015836
0,35,Gentamicin,8248,0.9049741236892037
0,36,Gentamicin_high_level,141,0.679933110367893
0,37,Imipenem,11454,0.9687949525254954
0,38,Itraconazole,46,0.7625
0,39,Levofloxacin,9155,0.8783162625660301
0,40,Linezolid,3888,0.8945872046360408
0,41,Meropenem,9736,0.9353073276456414
0,42,Meropenem_with_meningitis,26,0.7708333333333334
0,43,Meropenem_without_meningitis,17,0.8666666666666667
0,44,Micafungin,52,0.8163265306122449
0,45,Minocycline,1925,0.8604866185068745
0,46,Moxifloxacin,196,0.995592035263718
0,47,Mupirocin,1644,0.9586993669341058
0,48,Nitrofurantoin,4290,0.8732125772363166
0,49,Norfloxacin,4999,0.8563171751706145
0,50,Oxacillin,3116,0.919281220322887
0,51,Penicillin,3416,0.9470776075635776
0,52,Penicillin_with_meningitis,59,0.767156862745098
0,53,Penicillin_with_other_infections,59,0.7499999999999999
0,54,Penicillin_with_pneumonia,59,0.9137931034482758
0,55,Piperacillin,3757,0.9221954607462575
0,56,Piperacillin-Tazobactam,5912,0.8656837654784288
0,57,Polymyxin B,501,0.9979044181849933
0,58,Posaconazole,48,0.33695652173913043
0,59,Pristinamycin,1333,0.9605652854579412
0,60,Rifampicin,2294,0.8741066545123063
0,61,Strepomycin_high_level,12,0.8
0,62,Teicoplanin,2830,0.9469634163305048
0,63,Tetracycline,3321,0.8974511493421552
0,64,Ticarcillin,1720,0.9143001570652273
0,65,Tigecycline,3683,0.9917482971132014
0,66,Tobramycin,9022,0.879258190879588
0,67,Vancomycin,4169,0.9757085892876387
0,68,Voriconazole,53,1.0
1,0,5-Fluorocytosine,73,0.5555555555555556
1,1,Amikacin,8917,0.8952562542749398
1,2,Amoxicillin,41,0.7843137254901961
1,3,Amoxicillin-Clavulanic acid,5737,0.912326640874384
1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,0.9833333333333333
1,5,Ampicillin,4266,0.9574921911878433
1,6,Anidulafungin,74,0.5892672858617131
1,7,Azithromycin,35,0.4017094017094017
1,8,Aztreonam,4334,0.8461741329042716
1,9,Benzylpenicillin,140,0.844804318488529
1,10,Caspofungin,74,0.9249999999999999
1,11,Cefazolin,1972,0.9320271960711639
1,12,Cefepime,10149,0.8904867838851489
1,13,Cefixime,2987,0.784741836707758
1,14,Cefotaxime,3914,0.8862874097007225
1,15,Cefoxitin,1301,0.9577375864480534
1,16,Cefpodoxime,1283,0.913608788325955
1,17,Ceftazidime,7734,0.8516374383428098
1,18,Ceftolozane-Tazobactam,21,0.6111111111111112
1,19,Ceftriaxone,5337,0.9003466970705262
1,20,Cefuroxime,6803,0.8710301587111317
1,21,Chloramphenicol,1574,0.9499540948050108
1,22,Ciprofloxacin,12253,0.8595026661132781
1,23,Clarithromycin,269,0.6081058996568066
1,24,Clindamycin,3353,0.8875163792886812
1,25,Colistin,7730,0.9771717109838893
1,26,Cotrimoxazol,290,0.8244832501781898
1,27,Cotrimoxazole,5544,0.8458791715120944
1,28,Daptomycin,3547,0.8600387926956192
1,29,Doxycycline,171,0.5781893004115226
1,30,Ertapenem,7258,0.9286666065337181
1,31,Erythromycin,3453,0.8814877156735521
1,32,Fluconazole,74,0.6492753623188405
1,33,Fosfomycin,6008,0.7365750970950423
1,34,Fusidic acid,2522,0.868480155332681
1,35,Gentamicin,8376,0.9106254460550266
1,36,Gentamicin_high_level,119,0.747191011235955
1,37,Imipenem,11492,0.9695912560192069
1,38,Itraconazole,72,0.63754889178618
1,39,Levofloxacin,9073,0.8720553925336101
1,40,Linezolid,3827,0.85375752814873
1,41,Meropenem,9788,0.9430523919165905
1,42,Meropenem_with_meningitis,27,0.3888888888888889
1,43,Micafungin,74,0.9240196078431373
1,44,Minocycline,1955,0.8751548644326143
1,45,Moxifloxacin,159,0.9939516129032258
1,46,Mupirocin,1683,0.9514365908329006
1,47,Nitrofurantoin,4222,0.8857076431269979
1,48,Norfloxacin,4927,0.855992703364101
1,49,Oxacillin,3152,0.9236107508346791
1,50,Penicillin,3445,0.9411396277916428
1,51,Penicillin_with_meningitis,62,0.6499215070643642
1,52,Penicillin_with_other_infections,62,0.6042780748663101
1,53,Penicillin_with_pneumonia,62,0.75
1,54,Piperacillin,3835,0.9226143779703027
1,55,Piperacillin-Tazobactam,5893,0.8732058550782341
1,56,Polymyxin B,516,1.0
1,57,Posaconazole,73,0.7029411764705882
1,58,Pristinamycin,1304,0.958758905323411
1,59,Rifampicin,2366,0.871589821913518
1,60,Strepomycin_high_level,14,0.6
1,61,Teicoplanin,2793,0.9373460178070495
1,62,Tetracycline,3328,0.8945419665164063
1,63,Ticarcillin,1766,0.9184699861312109
1,64,Tigecycline,3688,0.9921776354781354
1,65,Tobramycin,9055,0.886913357846229
