fold,species_id,species,n_val_samples,n_val_pairs,auc
0,0,Campylobacter_Jejuni,81,190,0.8640873015873016
0,1,Candida_Albicans,53,403,0.8438095238095238
0,2,Citrobacter_Freundii,131,2099,0.8819793335234558
0,3,Citrobacter_Koseri,160,2567,0.9323972576209475
0,4,Enterobacter_Cloacae,345,5131,0.8867650143538679
0,5,Enterococcus_Faecalis,925,14081,0.9877702494004028
0,6,Enterococcus_Faecium,465,5028,0.9720735077236514
0,7,Escherichia_Coli,1533,24374,0.8620276601577427
0,8,Haemophilus_Influenzae,170,579,0.8293290854572714
0,9,Klebsiella_Oxytoca,238,3941,0.9243324976794954
0,10,Klebsiella_Pneumoniae,3850,68001,0.8704600358247613
0,11,Klebsiella_Variicola,147,2349,0.9336728077531578
0,12,Morganella_Morganii,158,2619,0.9110224400922075
0,13,Proteus_Mirabilis,473,8711,0.9132628842502408
0,14,Proteus_Vulgaris,86,1274,0.9819206461475279
0,15,Pseudomonas_Aeruginosa,1090,12698,0.9498433765164753
0,16,Serratia_Marcescens,245,3807,0.9690363135838403
0,17,Staphylococcus_Aureus,1413,27955,0.9322013026609559
0,18,Staphylococcus_Capitis,89,1827,0.9111752000392715
0,19,Staphylococcus_Epidermidis,1128,22712,0.9211179041332348
0,20,Staphylococcus_Haemolyticus,55,1205,0.9514421140337808
0,21,Staphylococcus_Hominis,174,3715,0.8794207341239816
0,22,Staphylococcus_Lugdunensis,104,2135,0.8379167152537542
0,23,Stenotrophomonas_Maltophilia,131,609,0.9725093500603704
0,24,Streptococcus_Pneumoniae,123,1304,0.8093121501140369
1,0,Campylobacter_Jejuni,93,222,0.9079709478716558
1,1,Candida_Albicans,74,587,0.798667122351333
1,2,Citrobacter_Freundii,133,2208,0.8747858084610827
1,3,Citrobacter_Koseri,165,2677,0.9650788890554972
1,4,Enterobacter_Cloacae,311,4634,0.9037377170274933
1,5,Enterococcus_Faecalis,895,14085,0.9850832025153595
1,6,Enterococcus_Faecium,428,4553,0.9775865256175539
1,7,Escherichia_Coli,1578,25297,0.8639080608197671
1,8,Haemophilus_Influenzae,166,532,0.8424900417759642
1,9,Klebsiella_Oxytoca,251,4169,0.9303822343346053
1,10,Klebsiella_Pneumoniae,3838,67924,0.878292864056388
1,11,Klebsiella_Variicola,112,1766,0.8881729370193306
1,12,Morganella_Morganii,166,2727,0.9395751085341582
1,13,Proteus_Mirabilis,482,8700,0.9199631720069965
1,14,Proteus_Vulgaris,93,1370,0.9807048429006686
1,15,Pseudomonas_Aeruginosa,1109,13027,0.9431875245188523
1,16,Serratia_Marcescens,244,3880,0.974889884916403
1,17,Staphylococcus_Aureus,1488,29631,0.9341364200073856
1,18,Staphylococcus_Capitis,90,1799,0.9541219518855302
1,19,Staphylococcus_Epidermidis,1137,23116,0.9310062488792742
1,20,Staphylococcus_Haemolyticus,56,1236,0.9271109433244982
1,21,Staphylococcus_Hominis,149,3117,0.8745145128264384
1,22,Staphylococcus_Lugdunensis,89,1763,0.9083404341093794
1,23,Stenotrophomonas_Maltophilia,122,740,0.9753240164199067
1,24,Streptococcus_Pneumoniae,98,921,0.7365966427167574
2,0,Campylobacter_Jejuni,100,229,0.8733185922240648
2,1,Candida_Albicans,64,487,0.8656387665198239
2,2,Citrobacter_Freundii,115,1855,0.9214632011901637
2,3,Citrobacter_Koseri,171,2732,0.9393833099219213
2,4,Enterobacter_Cloacae,324,4816,0.9109872616618854
2,5,Enterococcus_Faecalis,981,14954,0.9868695157111276
2,6,Enterococcus_Faecium,462,4954,0.9702067657054142
2,7,Escherichia_Coli,1539,24279,0.8526729351684881
2,8,Haemophilus_Influenzae,152,452,0.8593615715162677
2,9,Klebsiella_Oxytoca,243,4043,0.9468743790979535
2,10,Klebsiella_Pneumoniae,3813,67329,0.868036677617098
2,11,Klebsiella_Variicola,141,2205,0.9457923112986404
2,12,Morganella_Morganii,159,2628,0.9379933938299234
2,13,Proteus_Mirabilis,465,8526,0.9152963682540219
2,14,Proteus_Vulgaris,110,1667,0.9762167826965908
2,15,Pseudomonas_Aeruginosa,1018,12053,0.9464047597869164
2,16,Serratia_Marcescens,244,3890,0.968623362641781
2,17,Staphylococcus_Aureus,1454,28377,0.9248772346469727
