species,auc_micro,auc_macro,auc_micro_std,auc_macro_std,alpha_mean
Staphylococcus_Capitis,0.8786545198732079,0.8019420803145821,0.019205816303899947,0.026628413373848803,0.19075065851211548
Staphylococcus_Haemolyticus,0.8751018549272862,0.7753764073338494,0.0031169160438574983,0.011553301517917558,0.19417338073253632
Enterococcus_Faecium,0.9654496737399242,0.7686093584695584,0.0006014131921817656,0.008399285594204609,0.20202228426933289
Pseudomonas_Aeruginosa,0.909432690090861,0.7680079801183921,0.003470256967910035,0.0038525724288335783,0.20056848973035812
Staphylococcus_Epidermidis,0.911377357663328,0.7610575797591401,0.00027694848099646396,0.00022866415481920255,0.20910748094320297
Klebsiella_Variicola,0.7959603058793656,0.7296928547931454,0.018073845111647113,0.018531140073180408,0.19092272222042084
Staphylococcus_Aureus,0.9052062344923388,0.729409879920836,0.003907605584065166,0.00671947123216704,0.24015551805496216
Klebsiella_Pneumoniae,0.8627822332288154,0.7175008866893442,0.0022720919090977176,0.012916443955643564,0.25774790346622467
Stenotrophomonas_Maltophilia,0.9221009646856593,0.7054376954107399,0.016683205405460977,0.034714770814709084,0.187809519469738
Citrobacter_Koseri,0.8855172561828981,0.6969719778608223,0.004746469795887109,0.00014402006972585868,0.19255273789167404
Proteus_Mirabilis,0.8853007785286331,0.6892507311171316,0.001669385320795136,0.003002210861188126,0.2078130915760994
Candida_Albicans,0.7122571378369423,0.682573048483115,0.03895701330394108,0.06680117021704318,0.1895388513803482
Staphylococcus_Hominis,0.811202150456068,0.6758018286183773,0.019642135588916643,0.0022891798164668686,0.19378674775362015
Serratia_Marcescens,0.845615334513161,0.6685711907891765,0.004728188338576522,0.01141027272418299,0.20273207873106003
Enterococcus_Faecalis,0.9764585011536772,0.6679403050331049,0.0010840786435492022,0.0030964025210985513,0.20013226568698883
Staphylococcus_Lugdunensis,0.8389251419149251,0.6662557898130184,0.01181296237966456,0.02183513475789456,0.1864391267299652
Escherichia_Coli,0.8443427497136466,0.6651478496701222,0.007235049921354542,0.01278397806664111,0.23584693670272827
Streptococcus_Pneumoniae,0.7627403301260929,0.657077144074224,0.026775733121711942,0.022985713095555915,0.1925867199897766
Proteus_Vulgaris,0.9324636094450448,0.6488318256563087,0.0016465600464806718,0.08493240215300679,0.19078680127859116
Klebsiella_Oxytoca,0.8597155368851974,0.6372379651442739,0.0012632815738589653,0.029073099678282532,0.18903200328350067
Enterobacter_Cloacae,0.7937140960340701,0.6256425299975561,0.0003933655786978463,0.014985150385589896,0.20399252325296402
Citrobacter_Freundii,0.826399832347741,0.6137415954869387,0.004999364196936695,0.011366485319766195,0.20261751115322113
Campylobacter_Jejuni,0.8971047377414348,0.6090137346678317,0.008291477515809387,0.015771572264993483,0.190462127327919
Morganella_Morganii,0.872562415789883,0.5944349917114886,0.006281730912706951,0.005309279464569605,0.19069405645132065
Haemophilus_Influenzae,0.7482761069880949,0.5681276592681799,0.025024025785862825,0.017528807222924103,0.1894603669643402
