species,auc_micro,auc_macro,auc_micro_std,auc_macro_std,alpha_mean
Staphylococcus_Haemolyticus,0.8829716971111496,0.7977679800766815,0.00295612580998722,0.001991441626878865,0.19684750586748123
Staphylococcus_Capitis,0.8817568993736467,0.7910846885751572,0.012389610332279644,0.01503360891002714,0.19041426479816437
Enterococcus_Faecium,0.9658705636922342,0.783390047474954,0.0004327440164220153,0.010349855003911279,0.19638168066740036
Pseudomonas_Aeruginosa,0.9103947462038778,0.7774685583456833,0.0009825706773679554,0.0048668039943904895,0.19257058203220367
Staphylococcus_Epidermidis,0.9032937747329053,0.7592213653535292,0.007976975208969395,0.008077273304578414,0.2043415755033493
Klebsiella_Variicola,0.7999843855660707,0.7468366591024359,0.027222946030583006,0.02861609228747497,0.19090446084737778
Staphylococcus_Aureus,0.9119738638293415,0.7291429109738311,0.0013469782247139683,0.0041750180962008,0.22986293584108353
Klebsiella_Pneumoniae,0.8624887970935011,0.7195901258440078,0.001215671283662123,0.005094915100988084,0.2557179406285286
Stenotrophomonas_Maltophilia,0.9204784036912812,0.718217455931508,0.01803776568517057,0.04642637988003584,0.18490030616521835
Proteus_Mirabilis,0.8869885495658936,0.7021144069445506,0.0013943607809026037,1.8971633750308747e-05,0.20184196531772614
Candida_Albicans,0.7146980880695368,0.6837676563760694,0.04434524456600841,0.0731264244463844,0.19211538136005402
Staphylococcus_Lugdunensis,0.8425839736102749,0.6727880904322543,0.011189867611265059,0.000179647715011777,0.1882922425866127
Escherichia_Coli,0.8478430950080138,0.6722784353852638,0.0007511778955040516,0.0045826758857706595,0.21374034136533737
Staphylococcus_Hominis,0.8098094869281142,0.6717244755057497,0.02335953421657877,0.020587513439681404,0.19201060384511948
Enterococcus_Faecalis,0.9744898667380189,0.6706515265865811,0.00016060416438817837,0.00251376027630984,0.18667993694543839
Serratia_Marcescens,0.8485876921750879,0.6686895373641208,0.01064148586223318,0.009807437312212286,0.19816779345273972
Streptococcus_Pneumoniae,0.7597223219547535,0.6629459448301365,0.031264681668654204,0.02513238792458833,0.18973784148693085
Citrobacter_Koseri,0.8757012527171171,0.6585617005980149,0.003895875612460631,0.01178828280519445,0.18774054199457169
Proteus_Vulgaris,0.9328966529370266,0.648742289104469,0.00021044860182506397,0.08400575901706725,0.19022054970264435
Klebsiella_Oxytoca,0.8514183698837888,0.6426570661669575,0.005713217727023712,0.005741708551819769,0.18518824875354767
Enterobacter_Cloacae,0.7842729843175379,0.6242795166040873,0.00026418304624298283,0.01996849642453241,0.19416454434394836
Citrobacter_Freundii,0.8367605525833879,0.6051783670529638,0.00026880644843635393,0.030195348706898162,0.20401430130004883
Morganella_Morganii,0.8728417954532603,0.5908805481533528,0.00229632403059582,0.03253167578988264,0.1931847557425499
Campylobacter_Jejuni,0.8963026483784842,0.5889757872792495,0.0041113078604277375,0.019640304969332112,0.19077838957309723
Haemophilus_Influenzae,0.7793489597431102,0.5764559049950801,0.024743702056592043,0.08321707735533901,0.19117623567581177
