model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
implicit_species_hypernetwork,0,0,5-Fluorocytosine,49,0.5833333333333333
implicit_species_hypernetwork,0,1,Amikacin,8846,0.8779163399387568
implicit_species_hypernetwork,0,2,Amoxicillin,34,0.9263157894736842
implicit_species_hypernetwork,0,3,Amoxicillin-Clavulanic acid,5778,0.9147001389546356
implicit_species_hypernetwork,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9272727272727272
implicit_species_hypernetwork,0,5,Ampicillin,4228,0.9564214962246783
implicit_species_hypernetwork,0,6,Anidulafungin,51,0.688034188034188
implicit_species_hypernetwork,0,7,Azithromycin,44,0.7864583333333333
implicit_species_hypernetwork,0,8,Aztreonam,4270,0.8569969753740779
implicit_species_hypernetwork,0,9,Benzylpenicillin,140,0.8524497309544037
implicit_species_hypernetwork,0,10,Caspofungin,53,1.0
implicit_species_hypernetwork,0,11,Cefazolin,1901,0.9332081990072951
implicit_species_hypernetwork,0,12,Cefepime,10025,0.8862662828638201
implicit_species_hypernetwork,0,13,Cefixime,2956,0.7891396018612331
implicit_species_hypernetwork,0,14,Cefotaxime,3816,0.8941295808820497
implicit_species_hypernetwork,0,15,Cefoxitin,1210,0.949231980985302
implicit_species_hypernetwork,0,16,Cefpodoxime,1291,0.9217251968124159
implicit_species_hypernetwork,0,17,Ceftazidime,7669,0.847406437705992
implicit_species_hypernetwork,0,18,Ceftolozane-Tazobactam,17,0.6
implicit_species_hypernetwork,0,19,Ceftriaxone,5372,0.8987396976056019
implicit_species_hypernetwork,0,20,Cefuroxime,6700,0.8775787860139861
implicit_species_hypernetwork,0,21,Chloramphenicol,1562,0.9542078804569231
implicit_species_hypernetwork,0,22,Ciprofloxacin,12143,0.8725941487117379
implicit_species_hypernetwork,0,23,Clarithromycin,268,0.8045454545454546
implicit_species_hypernetwork,0,24,Clindamycin,3313,0.8989073552034034
implicit_species_hypernetwork,0,25,Colistin,7703,0.9799558870521485
implicit_species_hypernetwork,0,26,Cotrimoxazol,299,0.7637549631310268
implicit_species_hypernetwork,0,27,Cotrimoxazole,5566,0.8567769297815033
implicit_species_hypernetwork,0,28,Daptomycin,3529,0.8799016607499898
implicit_species_hypernetwork,0,29,Doxycycline,156,0.8059210526315789
implicit_species_hypernetwork,0,30,Ertapenem,7256,0.9216655058522568
implicit_species_hypernetwork,0,31,Erythromycin,3402,0.8904973794315982
implicit_species_hypernetwork,0,32,Fluconazole,51,0.62
implicit_species_hypernetwork,0,33,Fosfomycin,5947,0.7269868486133246
implicit_species_hypernetwork,0,34,Fusidic acid,2472,0.854061028072297
implicit_species_hypernetwork,0,35,Gentamicin,8248,0.9102955886975238
implicit_species_hypernetwork,0,36,Gentamicin_high_level,141,0.7297658862876254
implicit_species_hypernetwork,0,37,Imipenem,11454,0.9690442091178038
implicit_species_hypernetwork,0,38,Itraconazole,46,0.7208333333333333
implicit_species_hypernetwork,0,39,Levofloxacin,9155,0.8833504098303844
implicit_species_hypernetwork,0,40,Linezolid,3888,0.914652228918121
implicit_species_hypernetwork,0,41,Meropenem,9736,0.9361003167440629
implicit_species_hypernetwork,0,42,Meropenem_with_meningitis,26,0.6666666666666666
implicit_species_hypernetwork,0,43,Meropenem_without_meningitis,17,0.8
implicit_species_hypernetwork,0,44,Micafungin,52,0.8775510204081634
implicit_species_hypernetwork,0,45,Minocycline,1925,0.8837137028449698
implicit_species_hypernetwork,0,46,Moxifloxacin,196,0.9794801641586868
implicit_species_hypernetwork,0,47,Mupirocin,1644,0.9587546991716439
implicit_species_hypernetwork,0,48,Nitrofurantoin,4290,0.8707869627473127
implicit_species_hypernetwork,0,49,Norfloxacin,4999,0.8660953154824417
implicit_species_hypernetwork,0,50,Oxacillin,3116,0.9269841269841268
implicit_species_hypernetwork,0,51,Penicillin,3416,0.9483249911522322
implicit_species_hypernetwork,0,52,Penicillin_with_meningitis,59,0.911764705882353
implicit_species_hypernetwork,0,53,Penicillin_with_other_infections,59,0.9038461538461539
implicit_species_hypernetwork,0,54,Penicillin_with_pneumonia,59,0.9827586206896551
implicit_species_hypernetwork,0,55,Piperacillin,3757,0.9222792580752814
implicit_species_hypernetwork,0,56,Piperacillin-Tazobactam,5912,0.8689069604892227
implicit_species_hypernetwork,0,57,Polymyxin B,501,0.9954886780371384
implicit_species_hypernetwork,0,58,Posaconazole,48,0.3913043478260869
implicit_species_hypernetwork,0,59,Pristinamycin,1333,0.9664760867176914
implicit_species_hypernetwork,0,60,Rifampicin,2294,0.8876435733819508
implicit_species_hypernetwork,0,61,Strepomycin_high_level,12,0.8
implicit_species_hypernetwork,0,62,Teicoplanin,2830,0.933242453748783
implicit_species_hypernetwork,0,63,Tetracycline,3321,0.9107720479862762
implicit_species_hypernetwork,0,64,Ticarcillin,1720,0.9228193910362494
implicit_species_hypernetwork,0,65,Tigecycline,3683,0.9920029192345119
implicit_species_hypernetwork,0,66,Tobramycin,9022,0.8808592498541459
implicit_species_hypernetwork,0,67,Vancomycin,4169,0.9845295829291949
implicit_species_hypernetwork,0,68,Voriconazole,53,0.9038461538461539
implicit_species_hypernetwork,1,0,5-Fluorocytosine,73,0.5277777777777778
implicit_species_hypernetwork,1,1,Amikacin,8917,0.8952748975527671
implicit_species_hypernetwork,1,2,Amoxicillin,41,0.9068627450980391
implicit_species_hypernetwork,1,3,Amoxicillin-Clavulanic acid,5737,0.9176394731141972
implicit_species_hypernetwork,1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,1.0
implicit_species_hypernetwork,1,5,Ampicillin,4266,0.9550862735645345
implicit_species_hypernetwork,1,6,Anidulafungin,74,0.6573787409700723
implicit_species_hypernetwork,1,7,Azithromycin,35,0.7521367521367521
implicit_species_hypernetwork,1,8,Aztreonam,4334,0.8536478979069801
implicit_species_hypernetwork,1,9,Benzylpenicillin,140,0.8309716599190282
implicit_species_hypernetwork,1,10,Caspofungin,74,0.9892857142857143
implicit_species_hypernetwork,1,11,Cefazolin,1972,0.9415133895478134
implicit_species_hypernetwork,1,12,Cefepime,10149,0.893310598944258
implicit_species_hypernetwork,1,13,Cefixime,2987,0.7601980659750636
implicit_species_hypernetwork,1,14,Cefotaxime,3914,0.8723317581880399
implicit_species_hypernetwork,1,15,Cefoxitin,1301,0.9618438689874893
implicit_species_hypernetwork,1,16,Cefpodoxime,1283,0.9069574247144341
implicit_species_hypernetwork,1,17,Ceftazidime,7734,0.8459353573362643
implicit_species_hypernetwork,1,18,Ceftolozane-Tazobactam,21,0.48888888888888893
implicit_species_hypernetwork,1,19,Ceftriaxone,5337,0.909447271438569
implicit_species_hypernetwork,1,20,Cefuroxime,6803,0.885444142566052
implicit_species_hypernetwork,1,21,Chloramphenicol,1574,0.9465774442205668
implicit_species_hypernetwork,1,22,Ciprofloxacin,12253,0.862869494878679
implicit_species_hypernetwork,1,23,Clarithromycin,269,0.7034646184016996
implicit_species_hypernetwork,1,24,Clindamycin,3353,0.8937081991577904
