model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
implicit_species_hypernetwork,0,0,Campylobacter_Jejuni,81,190,0.8759920634920635
implicit_species_hypernetwork,0,1,Candida_Albicans,53,403,0.8483809523809525
implicit_species_hypernetwork,0,2,Citrobacter_Freundii,131,2099,0.8905868117282387
implicit_species_hypernetwork,0,3,Citrobacter_Koseri,160,2567,0.931870472944184
implicit_species_hypernetwork,0,4,Enterobacter_Cloacae,345,5131,0.8913429100906998
implicit_species_hypernetwork,0,5,Enterococcus_Faecalis,925,14081,0.9890561990773159
implicit_species_hypernetwork,0,6,Enterococcus_Faecium,465,5028,0.9738900735368646
implicit_species_hypernetwork,0,7,Escherichia_Coli,1533,24374,0.871118277646749
implicit_species_hypernetwork,0,8,Haemophilus_Influenzae,170,579,0.8404610194902549
implicit_species_hypernetwork,0,9,Klebsiella_Oxytoca,238,3941,0.9074513374544405
implicit_species_hypernetwork,0,10,Klebsiella_Pneumoniae,3850,68001,0.8753207571730411
implicit_species_hypernetwork,0,11,Klebsiella_Variicola,147,2349,0.9356396268663169
implicit_species_hypernetwork,0,12,Morganella_Morganii,158,2619,0.9288031090356672
implicit_species_hypernetwork,0,13,Proteus_Mirabilis,473,8711,0.9143622807746399
implicit_species_hypernetwork,0,14,Proteus_Vulgaris,86,1274,0.9844623422847885
implicit_species_hypernetwork,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9489264937909794
implicit_species_hypernetwork,0,16,Serratia_Marcescens,245,3807,0.9727295681296138
implicit_species_hypernetwork,0,17,Staphylococcus_Aureus,1413,27955,0.9315270453180702
implicit_species_hypernetwork,0,18,Staphylococcus_Capitis,89,1827,0.9496023759265623
implicit_species_hypernetwork,0,19,Staphylococcus_Epidermidis,1128,22712,0.9292179556096618
implicit_species_hypernetwork,0,20,Staphylococcus_Haemolyticus,55,1205,0.9425099460897107
implicit_species_hypernetwork,0,21,Staphylococcus_Hominis,174,3715,0.876199988182071
implicit_species_hypernetwork,0,22,Staphylococcus_Lugdunensis,104,2135,0.8578762907969578
implicit_species_hypernetwork,0,23,Stenotrophomonas_Maltophilia,131,609,0.984612892776158
implicit_species_hypernetwork,0,24,Streptococcus_Pneumoniae,123,1304,0.8540154813739718
implicit_species_hypernetwork,1,0,Campylobacter_Jejuni,93,222,0.9046612117311759
implicit_species_hypernetwork,1,1,Candida_Albicans,74,587,0.8123718386876282
implicit_species_hypernetwork,1,2,Citrobacter_Freundii,133,2208,0.8558542624690486
implicit_species_hypernetwork,1,3,Citrobacter_Koseri,165,2677,0.9635810799553489
implicit_species_hypernetwork,1,4,Enterobacter_Cloacae,311,4634,0.9158023194898963
implicit_species_hypernetwork,1,5,Enterococcus_Faecalis,895,14085,0.9854367149086156
implicit_species_hypernetwork,1,6,Enterococcus_Faecium,428,4553,0.978223474204549
implicit_species_hypernetwork,1,7,Escherichia_Coli,1578,25297,0.8614638999527644
implicit_species_hypernetwork,1,8,Haemophilus_Influenzae,166,532,0.8723647138832216
implicit_species_hypernetwork,1,9,Klebsiella_Oxytoca,251,4169,0.9401413712802374
implicit_species_hypernetwork,1,10,Klebsiella_Pneumoniae,3838,67924,0.8835491163120492
implicit_species_hypernetwork,1,11,Klebsiella_Variicola,112,1766,0.9095389039007831
implicit_species_hypernetwork,1,12,Morganella_Morganii,166,2727,0.9327474440009608
implicit_species_hypernetwork,1,13,Proteus_Mirabilis,482,8700,0.9108424706370868
implicit_species_hypernetwork,1,14,Proteus_Vulgaris,93,1370,0.9799734645649034
implicit_species_hypernetwork,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9453549525166618
implicit_species_hypernetwork,1,16,Serratia_Marcescens,244,3880,0.9742385071615537
implicit_species_hypernetwork,1,17,Staphylococcus_Aureus,1488,29631,0.9290000368548016
implicit_species_hypernetwork,1,18,Staphylococcus_Capitis,90,1799,0.9497583353813386
implicit_species_hypernetwork,1,19,Staphylococcus_Epidermidis,1137,23116,0.9322621182120622
implicit_species_hypernetwork,1,20,Staphylococcus_Haemolyticus,56,1236,0.9365027403191231
implicit_species_hypernetwork,1,21,Staphylococcus_Hominis,149,3117,0.8645065285077652
implicit_species_hypernetwork,1,22,Staphylococcus_Lugdunensis,89,1763,0.9396708904831277
implicit_species_hypernetwork,1,23,Stenotrophomonas_Maltophilia,122,740,0.979209907292099
implicit_species_hypernetwork,1,24,Streptococcus_Pneumoniae,98,921,0.791587460128234
implicit_species_hypernetwork,2,0,Campylobacter_Jejuni,100,229,0.8887967569559609
implicit_species_hypernetwork,2,1,Candida_Albicans,64,487,0.8403417434254439
implicit_species_hypernetwork,2,2,Citrobacter_Freundii,115,1855,0.8954773781394942
implicit_species_hypernetwork,2,3,Citrobacter_Koseri,171,2732,0.9470189911461813
implicit_species_hypernetwork,2,4,Enterobacter_Cloacae,324,4816,0.901992368001709
implicit_species_hypernetwork,2,5,Enterococcus_Faecalis,981,14954,0.9870473002910065
implicit_species_hypernetwork,2,6,Enterococcus_Faecium,462,4954,0.975987698420665
implicit_species_hypernetwork,2,7,Escherichia_Coli,1539,24279,0.8569344335498067
implicit_species_hypernetwork,2,8,Haemophilus_Influenzae,152,452,0.8560466543891958
implicit_species_hypernetwork,2,9,Klebsiella_Oxytoca,243,4043,0.9332045996423605
implicit_species_hypernetwork,2,10,Klebsiella_Pneumoniae,3813,67329,0.871997815177991
