model_mode,fold,n_train_samples,n_val_samples,n_antibiotics,n_train_pairs,n_val_pairs,model_input_dim,maldi_emb_dim,species_emb_dim,drug_emb_dim,global_micro_auc,macro_antibiotic_auc,mean_species_micro_auc,mean_species_macro_antibiotic_auc,antibiotics
species_multihead_no_enrichment,0,53465,13367,69,879791,219314,64,32,16,16,0.9260297491468935,0.8628600955516771,0.9180730336934765,0.7342305164488201,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,1,53465,13367,68,878352,220681,64,32,16,16,0.9265203182044658,0.8370450173845114,0.913384058159563,0.6980720722616519,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,2,53466,13366,68,879375,219658,64,32,16,16,0.9289383264374899,0.8530450317751469,0.9197700421337498,0.7334862621352173,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,3,53466,13366,68,879464,219343,64,32,16,16,0.9256359640185843,0.8895166479776736,0.9187880256475868,0.7202732985789376,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,4,53466,13366,71,879178,220041,64,32,16,16,0.9262212121266918,0.8596344641048176,0.916065075164168,0.7399435007292463,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_no_enrichment,0,53465,13367,69,879791,219314,64,32,16,16,0.9228212011762161,0.8550821067322996,0.910951812106243,0.7294834182952897,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_no_enrichment,1,53465,13367,68,878352,220681,64,32,16,16,0.9299216276302387,0.8447970175360358,0.917128293111607,0.718044676113934,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_no_enrichment,2,53466,13366,68,879375,219658,64,32,16,16,0.9255537084820075,0.8506831968932764,0.9162480532589775,0.7331998180455522,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_no_enrichment,3,53466,13366,68,879464,219343,64,32,16,16,0.927465914682621,0.8868784951539949,0.9148009911044238,0.7239425930853964,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_no_enrichment,4,53466,13366,71,879178,220041,64,32,16,16,0.9272732519400255,0.842768848698682,0.9172638434471243,0.741059976772659,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
