model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,0,0,5-Fluorocytosine,49,0.9166666666666666
species_multihead_no_enrichment,0,1,Amikacin,8846,0.8767932024200539
species_multihead_no_enrichment,0,2,Amoxicillin,34,0.8526315789473684
species_multihead_no_enrichment,0,3,Amoxicillin-Clavulanic acid,5778,0.9183223250595542
species_multihead_no_enrichment,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9454545454545454
species_multihead_no_enrichment,0,5,Ampicillin,4228,0.9566188661081035
species_multihead_no_enrichment,0,6,Anidulafungin,51,0.6346153846153846
species_multihead_no_enrichment,0,7,Azithromycin,44,0.7604166666666666
species_multihead_no_enrichment,0,8,Aztreonam,4270,0.8504632500172233
species_multihead_no_enrichment,0,9,Benzylpenicillin,140,0.8887000849617671
species_multihead_no_enrichment,0,10,Caspofungin,53,1.0
species_multihead_no_enrichment,0,11,Cefazolin,1901,0.9293488008178383
species_multihead_no_enrichment,0,12,Cefepime,10025,0.8810642112262334
species_multihead_no_enrichment,0,13,Cefixime,2956,0.7595981556531203
species_multihead_no_enrichment,0,14,Cefotaxime,3816,0.8779079240008872
species_multihead_no_enrichment,0,15,Cefoxitin,1210,0.9522545164082482
species_multihead_no_enrichment,0,16,Cefpodoxime,1291,0.9107015578861624
species_multihead_no_enrichment,0,17,Ceftazidime,7669,0.8166042751329101
species_multihead_no_enrichment,0,18,Ceftolozane-Tazobactam,17,0.43333333333333335
species_multihead_no_enrichment,0,19,Ceftriaxone,5372,0.8975933392219395
species_multihead_no_enrichment,0,20,Cefuroxime,6700,0.8771912055944056
species_multihead_no_enrichment,0,21,Chloramphenicol,1562,0.9561225903172714
species_multihead_no_enrichment,0,22,Ciprofloxacin,12143,0.8721147606191441
species_multihead_no_enrichment,0,23,Clarithromycin,268,0.7946969696969697
species_multihead_no_enrichment,0,24,Clindamycin,3313,0.9050245467861007
species_multihead_no_enrichment,0,25,Colistin,7703,0.9757592337128917
species_multihead_no_enrichment,0,26,Cotrimoxazol,299,0.761769710720363
species_multihead_no_enrichment,0,27,Cotrimoxazole,5566,0.8633439844182651
species_multihead_no_enrichment,0,28,Daptomycin,3529,0.8495531888848086
species_multihead_no_enrichment,0,29,Doxycycline,156,0.7516447368421053
species_multihead_no_enrichment,0,30,Ertapenem,7256,0.9155338870199046
species_multihead_no_enrichment,0,31,Erythromycin,3402,0.893467948111633
species_multihead_no_enrichment,0,32,Fluconazole,51,0.72
species_multihead_no_enrichment,0,33,Fosfomycin,5947,0.7375604295041092
species_multihead_no_enrichment,0,34,Fusidic acid,2472,0.8645813033649014
species_multihead_no_enrichment,0,35,Gentamicin,8248,0.916289068926875
species_multihead_no_enrichment,0,36,Gentamicin_high_level,141,0.745819397993311
species_multihead_no_enrichment,0,37,Imipenem,11454,0.968879343197285
species_multihead_no_enrichment,0,38,Itraconazole,46,0.8125
species_multihead_no_enrichment,0,39,Levofloxacin,9155,0.884685182328526
species_multihead_no_enrichment,0,40,Linezolid,3888,0.8986954333365074
species_multihead_no_enrichment,0,41,Meropenem,9736,0.9398996492301831
species_multihead_no_enrichment,0,42,Meropenem_with_meningitis,26,0.8055555555555556
species_multihead_no_enrichment,0,43,Meropenem_without_meningitis,17,0.6333333333333333
species_multihead_no_enrichment,0,44,Micafungin,52,0.8639455782312925
species_multihead_no_enrichment,0,45,Minocycline,1925,0.8844087616090288
species_multihead_no_enrichment,0,46,Moxifloxacin,196,0.9936160510715915
species_multihead_no_enrichment,0,47,Mupirocin,1644,0.954100281543444
species_multihead_no_enrichment,0,48,Nitrofurantoin,4290,0.8977918674288972
species_multihead_no_enrichment,0,49,Norfloxacin,4999,0.8581048544176462
species_multihead_no_enrichment,0,50,Oxacillin,3116,0.925802553927554
species_multihead_no_enrichment,0,51,Penicillin,3416,0.9551069315941151
species_multihead_no_enrichment,0,52,Penicillin_with_meningitis,59,0.8823529411764706
species_multihead_no_enrichment,0,53,Penicillin_with_other_infections,59,0.8873626373626373
species_multihead_no_enrichment,0,54,Penicillin_with_pneumonia,59,1.0
species_multihead_no_enrichment,0,55,Piperacillin,3757,0.8904926258350458
species_multihead_no_enrichment,0,56,Piperacillin-Tazobactam,5912,0.8696305069161271
species_multihead_no_enrichment,0,57,Polymyxin B,501,1.0
species_multihead_no_enrichment,0,58,Posaconazole,48,0.5434782608695652
species_multihead_no_enrichment,0,59,Pristinamycin,1333,0.9659851411725932
species_multihead_no_enrichment,0,60,Rifampicin,2294,0.8934001823154056
species_multihead_no_enrichment,0,61,Strepomycin_high_level,12,0.44999999999999996
species_multihead_no_enrichment,0,62,Teicoplanin,2830,0.9304103491445265
species_multihead_no_enrichment,0,63,Tetracycline,3321,0.9119945361386577
species_multihead_no_enrichment,0,64,Ticarcillin,1720,0.9102511639476129
species_multihead_no_enrichment,0,65,Tigecycline,3683,0.9909303708509029
species_multihead_no_enrichment,0,66,Tobramycin,9022,0.890532980472961
species_multihead_no_enrichment,0,67,Vancomycin,4169,0.9768455652548766
species_multihead_no_enrichment,0,68,Voriconazole,53,0.8076923076923077
species_multihead_no_enrichment,1,0,5-Fluorocytosine,73,0.7361111111111112
species_multihead_no_enrichment,1,1,Amikacin,8917,0.8894888231128222
species_multihead_no_enrichment,1,2,Amoxicillin,41,0.7867647058823529
species_multihead_no_enrichment,1,3,Amoxicillin-Clavulanic acid,5737,0.9080417679253707
species_multihead_no_enrichment,1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,0.95
species_multihead_no_enrichment,1,5,Ampicillin,4266,0.9543510902206555
species_multihead_no_enrichment,1,6,Anidulafungin,74,0.5820433436532508
species_multihead_no_enrichment,1,7,Azithromycin,35,0.7649572649572649
species_multihead_no_enrichment,1,8,Aztreonam,4334,0.8556516642941923
species_multihead_no_enrichment,1,9,Benzylpenicillin,140,0.8954116059379217
species_multihead_no_enrichment,1,10,Caspofungin,74,0.8785714285714286
species_multihead_no_enrichment,1,11,Cefazolin,1972,0.9373873323674102
species_multihead_no_enrichment,1,12,Cefepime,10149,0.8860861462337174
species_multihead_no_enrichment,1,13,Cefixime,2987,0.7876257160203786
species_multihead_no_enrichment,1,14,Cefotaxime,3914,0.8859173863451197
species_multihead_no_enrichment,1,15,Cefoxitin,1301,0.9621401235527236
species_multihead_no_enrichment,1,16,Cefpodoxime,1283,0.9067961960977209
species_multihead_no_enrichment,1,17,Ceftazidime,7734,0.8481598616682813
species_multihead_no_enrichment,1,18,Ceftolozane-Tazobactam,21,0.5111111111111112
species_multihead_no_enrichment,1,19,Ceftriaxone,5337,0.8997268664276598
species_multihead_no_enrichment,1,20,Cefuroxime,6803,0.8847022009905526
species_multihead_no_enrichment,1,21,Chloramphenicol,1574,0.9480952938445961
species_multihead_no_enrichment,1,22,Ciprofloxacin,12253,0.8720981496271805
species_multihead_no_enrichment,1,23,Clarithromycin,269,0.6908808628860925
species_multihead_no_enrichment,1,24,Clindamycin,3353,0.9052514243249938
species_multihead_no_enrichment,1,25,Colistin,7730,0.9789848992250365
species_multihead_no_enrichment,1,26,Cotrimoxazol,290,0.8337491090520314
species_multihead_no_enrichment,1,27,Cotrimoxazole,5544,0.8585961491413527
species_multihead_no_enrichment,1,28,Daptomycin,3547,0.8665909736020437
species_multihead_no_enrichment,1,29,Doxycycline,171,0.5727023319615911
species_multihead_no_enrichment,1,30,Ertapenem,7258,0.9363472240444328
species_multihead_no_enrichment,1,31,Erythromycin,3453,0.8977885316655679
