model_mode,antibiotic,mean_antibiotic_auc,std_antibiotic_auc,mean_n_val_pairs,n_folds
implicit_species_no_enrichment,5-Fluorocytosine,0.6985562865497076,0.24148219214870573,60.75,4
implicit_species_no_enrichment,Amikacin,0.8829022873443593,0.012738921887301429,8866.4,5
implicit_species_no_enrichment,Amoxicillin,0.8928213749267823,0.033399824365949946,40.2,5
implicit_species_no_enrichment,Amoxicillin-Clavulanic acid,0.9128405238226993,0.005261246962797478,5747.4,5
implicit_species_no_enrichment,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.8666868686868687,0.15634719852000084,16.0,5
implicit_species_no_enrichment,Ampicillin,0.9571571282462991,0.006131207967326105,4253.2,5
implicit_species_no_enrichment,Anidulafungin,0.6668460127447933,0.051739123577129495,60.8,5
implicit_species_no_enrichment,Azithromycin,0.6969490995115996,0.09761819999603605,40.8,5
implicit_species_no_enrichment,Aztreonam,0.848322993720773,0.005704944535749589,4294.4,5
implicit_species_no_enrichment,Benzylpenicillin,0.8716884991622855,0.05954236670664933,136.8,5
implicit_species_no_enrichment,Caspofungin,0.9633001478132336,0.04356443273195629,63.0,5
implicit_species_no_enrichment,Cefazolin,0.9312888503463984,0.007636081885101472,1919.6,5
implicit_species_no_enrichment,Cefepime,0.8860887841696161,0.006941629327575596,10042.6,5
implicit_species_no_enrichment,Cefixime,0.7743414062590415,0.010154458125804506,2974.6,5
implicit_species_no_enrichment,Cefotaxime,0.8852085360001276,0.006277771110460923,3863.2,5
implicit_species_no_enrichment,Cefoxitin,0.9567084731853146,0.00635372963261875,1242.0,5
implicit_species_no_enrichment,Cefpodoxime,0.9098890670947078,0.010358227285393618,1274.6,5
implicit_species_no_enrichment,Ceftazidime,0.8414465784636102,0.00947236852648916,7696.0,5
implicit_species_no_enrichment,Ceftazidime-Avibactam,0.6666666666666667,,7.0,1
implicit_species_no_enrichment,Ceftobiprole,1.0,,5.0,1
implicit_species_no_enrichment,Ceftolozane-Tazobactam,0.6359259259259259,0.1960585562427575,18.6,5
implicit_species_no_enrichment,Ceftriaxone,0.8991114876163454,0.009780852754486855,5354.6,5
implicit_species_no_enrichment,Cefuroxime,0.8806404754694404,0.006099642351644785,6751.6,5
implicit_species_no_enrichment,Chloramphenicol,0.9515143050382155,0.004732524158808517,1565.6,5
implicit_species_no_enrichment,Ciprofloxacin,0.8727593826697337,0.00395230452713026,12192.2,5
implicit_species_no_enrichment,Clarithromycin,0.7401236380539012,0.03816497610577545,263.2,5
implicit_species_no_enrichment,Clindamycin,0.8968502754467236,0.008421586326067116,3330.6,5
implicit_species_no_enrichment,Colistin,0.9771604789809765,0.0037623835136398522,7695.2,5
implicit_species_no_enrichment,Cotrimoxazol,0.8331314914505175,0.0648208492388038,286.6,5
implicit_species_no_enrichment,Cotrimoxazole,0.8612287635402487,0.003750550733587154,5562.6,5
implicit_species_no_enrichment,Daptomycin,0.8672902976980815,0.0680316290811182,3539.6,5
implicit_species_no_enrichment,Doxycycline,0.5911933818101064,0.10126134433493415,164.4,5
implicit_species_no_enrichment,Ertapenem,0.922685547841897,0.011912006878638333,7267.6,5
implicit_species_no_enrichment,Erythromycin,0.8948268872739915,0.0032987520847433138,3441.2,5
implicit_species_no_enrichment,Fluconazole,0.7926066198997137,0.14008037668464246,61.2,5
implicit_species_no_enrichment,Fosfomycin,0.7445302655892756,0.010646143967673442,5994.2,5
implicit_species_no_enrichment,Fusidic acid,0.8581097605121855,0.013311228519584472,2490.6,5
implicit_species_no_enrichment,Gentamicin,0.9111010007257446,0.0028483669330957497,8326.8,5
implicit_species_no_enrichment,Gentamicin_high_level,0.7677490409117776,0.04649461378866984,129.2,5
implicit_species_no_enrichment,Imipenem,0.9682594675766003,0.0023822563730031185,11475.0,5
implicit_species_no_enrichment,Itraconazole,0.652249174688642,0.052192437810989,56.6,5
implicit_species_no_enrichment,Levofloxacin,0.8850878296329705,0.005242045478296703,9128.4,5
implicit_species_no_enrichment,Linezolid,0.8990580646874232,0.023950371195316348,3871.6,5
implicit_species_no_enrichment,Meropenem,0.9399450579136872,0.008085645044628675,9726.8,5
implicit_species_no_enrichment,Meropenem_with_meningitis,0.5904158040027605,0.16272119096561005,25.2,5
implicit_species_no_enrichment,Meropenem_without_meningitis,1.0,0.0,15.666666666666666,3
implicit_species_no_enrichment,Micafungin,0.880202250391682,0.05141171250713002,61.4,5
implicit_species_no_enrichment,Minocycline,0.8793297632361309,0.0036430864116612396,1954.2,5
implicit_species_no_enrichment,Moxifloxacin,0.983250046080299,0.007514283100312391,179.6,5
implicit_species_no_enrichment,Mupirocin,0.9570042351268185,0.007586861275848996,1645.6,5
implicit_species_no_enrichment,Nitrofurantoin,0.901057369733594,0.0054881385340491105,4254.0,5
implicit_species_no_enrichment,Norfloxacin,0.8647361363837536,0.006912438604754857,4989.2,5
implicit_species_no_enrichment,Oxacillin,0.9201078299775094,0.007468900869102837,3112.0,5
implicit_species_no_enrichment,Penicillin,0.9494188592760686,0.0039101344970991145,3450.8,5
implicit_species_no_enrichment,Penicillin_with_meningitis,0.6887861039008815,0.08263768503485529,51.0,5
implicit_species_no_enrichment,Penicillin_with_other_infections,0.6983849320614027,0.08956316690123746,51.2,5
implicit_species_no_enrichment,Penicillin_with_pneumonia,0.8396153846153848,0.16427174772489553,51.2,5
implicit_species_no_enrichment,Piperacillin,0.9176962959024356,0.01225584637089491,3778.2,5
implicit_species_no_enrichment,Piperacillin-Tazobactam,0.8742731556039413,0.011410433660300522,5855.8,5
implicit_species_no_enrichment,Polymyxin B,0.9997429718875501,0.0005747323315661824,519.4,5
implicit_species_no_enrichment,Posaconazole,0.624491823606913,0.26555116491178665,58.4,5
implicit_species_no_enrichment,Pristinamycin,0.9663674956585494,0.0043101561303013035,1338.2,5
implicit_species_no_enrichment,Rifampicin,0.8868843960625103,0.016633909243044667,2316.6,5
implicit_species_no_enrichment,Strepomycin_high_level,0.6000854700854701,0.20694318136304904,16.2,5
implicit_species_no_enrichment,Teicoplanin,0.9370415572021737,0.012740066097303446,2826.6,5
implicit_species_no_enrichment,Tetracycline,0.909824320824195,0.003555830302240363,3326.6,5
implicit_species_no_enrichment,Ticarcillin,0.9198557421949494,0.006375115771892629,1736.0,5
implicit_species_no_enrichment,Tigecycline,0.9936765557148819,0.0016720082484382446,3664.8,5
implicit_species_no_enrichment,Tobramycin,0.8854464659290011,0.007726591744802384,9029.2,5
implicit_species_no_enrichment,Vancomycin,0.9632892315753849,0.01564725662910971,4168.2,5
implicit_species_no_enrichment,Voriconazole,0.7767413627000227,0.23551119939384282,61.8,5
species_multihead_no_enrichment,5-Fluorocytosine,0.8076483210714959,0.16295211690718944,60.75,4
species_multihead_no_enrichment,Amikacin,0.883367770639761,0.006880071390895621,8866.4,5
species_multihead_no_enrichment,Amoxicillin,0.8710133221862353,0.05839837066542047,40.2,5
species_multihead_no_enrichment,Amoxicillin-Clavulanic acid,0.912906645078035,0.005169856699104586,5747.4,5
species_multihead_no_enrichment,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.9442337662337662,0.040580373824716715,16.0,5
species_multihead_no_enrichment,Ampicillin,0.9563894043526127,0.002416405347718963,4253.2,5
species_multihead_no_enrichment,Anidulafungin,0.6538030770434258,0.07162970133359282,60.8,5
species_multihead_no_enrichment,Azithromycin,0.7892631639194139,0.028889991886158577,40.8,5
