model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,81,190,0.8699156746031746,0.5972437906920666,3,57.333333333333336
species_multihead_no_enrichment,0,1,Candida_Albicans,53,403,0.8709523809523809,0.787362274759402,8,50.375
species_multihead_no_enrichment,0,2,Citrobacter_Freundii,131,2099,0.9008654120368768,0.6939798688422874,23,79.0
species_multihead_no_enrichment,0,3,Citrobacter_Koseri,160,2567,0.9398535848471937,0.6377310664178516,17,101.70588235294117
species_multihead_no_enrichment,0,4,Enterobacter_Cloacae,345,5131,0.8843238383421629,0.6217314114890787,24,189.125
species_multihead_no_enrichment,0,5,Enterococcus_Faecalis,925,14081,0.9883420560509982,0.6032625390191569,21,534.8095238095239
species_multihead_no_enrichment,0,6,Enterococcus_Faecium,465,5028,0.9773189009000791,0.8018594575829215,21,198.47619047619048
species_multihead_no_enrichment,0,7,Escherichia_Coli,1533,24374,0.8561416862154505,0.7000018349115702,30,805.5666666666667
species_multihead_no_enrichment,0,8,Haemophilus_Influenzae,170,579,0.8397488755622189,0.7461743349839004,12,37.916666666666664
species_multihead_no_enrichment,0,9,Klebsiella_Oxytoca,238,3941,0.9233988518606228,0.7197870665179997,22,129.04545454545453
species_multihead_no_enrichment,0,10,Klebsiella_Pneumoniae,3850,68001,0.8742876940051433,0.739666946535319,30,2220.1666666666665
species_multihead_no_enrichment,0,11,Klebsiella_Variicola,147,2349,0.9336555170356794,0.7815759412483331,15,107.4
species_multihead_no_enrichment,0,12,Morganella_Morganii,158,2619,0.9198643733527453,0.6037067211054534,21,89.57142857142857
species_multihead_no_enrichment,0,13,Proteus_Mirabilis,473,8711,0.9153002427032588,0.683462656511915,30,275.2
species_multihead_no_enrichment,0,14,Proteus_Vulgaris,86,1274,0.9870040384220493,0.8046288838699553,8,62.25
species_multihead_no_enrichment,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9453495496550931,0.7850374129698263,16,655.875
species_multihead_no_enrichment,0,16,Serratia_Marcescens,245,3807,0.979423822131823,0.7854255998457806,19,137.47368421052633
species_multihead_no_enrichment,0,17,Staphylococcus_Aureus,1413,27955,0.9380725176935701,0.7638875869109147,32,750.53125
species_multihead_no_enrichment,0,18,Staphylococcus_Capitis,89,1827,0.9404373864807815,0.8654036622382202,21,66.28571428571429
species_multihead_no_enrichment,0,19,Staphylococcus_Epidermidis,1128,22712,0.9240097199747777,0.7900222653081922,31,687.483870967742
species_multihead_no_enrichment,0,20,Staphylococcus_Haemolyticus,55,1205,0.933652270357066,0.8489491844756456,25,40.6
species_multihead_no_enrichment,0,21,Staphylococcus_Hominis,174,3715,0.880883202831691,0.7949842538387779,24,123.91666666666667
species_multihead_no_enrichment,0,22,Staphylococcus_Lugdunensis,104,2135,0.8728281571889454,0.6872829091591409,18,71.55555555555556
species_multihead_no_enrichment,0,23,Stenotrophomonas_Maltophilia,131,609,0.9869540889949052,0.825082540853332,7,38.714285714285715
species_multihead_no_enrichment,0,24,Streptococcus_Pneumoniae,123,1304,0.8692420001382265,0.6875127011334632,23,46.391304347826086
species_multihead_no_enrichment,1,0,Campylobacter_Jejuni,93,222,0.9103613128620023,0.6379188712522045,3,65.66666666666667
species_multihead_no_enrichment,1,1,Candida_Albicans,74,587,0.7597744360902255,0.6642219671398654,8,73.375
species_multihead_no_enrichment,1,2,Citrobacter_Freundii,133,2208,0.8834407545054875,0.6444555734507861,21,77.52380952380952
species_multihead_no_enrichment,1,3,Citrobacter_Koseri,165,2677,0.961158594491928,0.5758397478333628,16,94.875
species_multihead_no_enrichment,1,4,Enterobacter_Cloacae,311,4634,0.9107820003901618,0.7212375674874743,23,154.0
species_multihead_no_enrichment,1,5,Enterococcus_Faecalis,895,14085,0.9856324014394925,0.7233221401605244,22,515.7727272727273
species_multihead_no_enrichment,1,6,Enterococcus_Faecium,428,4553,0.9788144982956695,0.7860597161105126,23,166.1304347826087
species_multihead_no_enrichment,1,7,Escherichia_Coli,1578,25297,0.8570421694490065,0.6991869028711832,29,817.7241379310345
species_multihead_no_enrichment,1,8,Haemophilus_Influenzae,166,532,0.8418828329932965,0.4947563736703211,7,42.42857142857143
species_multihead_no_enrichment,1,9,Klebsiella_Oxytoca,251,4169,0.9069066471801643,0.6127004718942076,24,136.54166666666666
