model_mode,species,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_n_val_pairs,mean_n_antibiotics_with_auc,n_folds
implicit_species_no_enrichment,Campylobacter_Jejuni,0.896523953386764,0.02312042673294163,0.7267734275461619,0.11530296809794893,223.6,3.4,5
implicit_species_no_enrichment,Candida_Albicans,0.8441913497494505,0.03347468978384611,0.7614013329814104,0.07425959628483272,471.8,7.8,5
implicit_species_no_enrichment,Citrobacter_Freundii,0.8812186668121124,0.032570527407972255,0.6507336221376121,0.04263568042607886,2086.8,21.8,5
implicit_species_no_enrichment,Citrobacter_Koseri,0.9576115632177107,0.03145029505250033,0.7482412910018297,0.10624942453363385,2728.4,18.6,5
implicit_species_no_enrichment,Enterobacter_Cloacae,0.9036484614940784,0.015743942390256838,0.6754313462014868,0.03533062328215399,4775.4,23.4,5
implicit_species_no_enrichment,Enterococcus_Faecalis,0.9876026316049998,0.0011630019222347492,0.704725394475138,0.026609019214204728,14333.8,20.6,5
implicit_species_no_enrichment,Enterococcus_Faecium,0.9759799647271583,0.001230796521379933,0.8028782076948258,0.028998415851368763,4839.4,22.2,5
implicit_species_no_enrichment,Escherichia_Coli,0.8603509380188374,0.0030975446454832925,0.6932543908648594,0.024729415020189962,24566.2,30.0,5
implicit_species_no_enrichment,Haemophilus_Influenzae,0.8416454476216118,0.01651184040165504,0.7025461883818575,0.06676374334462779,542.4,10.0,5
implicit_species_no_enrichment,Klebsiella_Oxytoca,0.9333471058816304,0.01819637925580586,0.7245795021539403,0.07126446471840399,4096.8,22.0,5
implicit_species_no_enrichment,Klebsiella_Pneumoniae,0.8739452418185765,0.0052914232123904194,0.739110316987394,0.01617339376723691,68138.8,32.8,5
implicit_species_no_enrichment,Klebsiella_Variicola,0.9349202455539872,0.0216831969390054,0.7555551879089132,0.06951851246111146,2105.2,14.6,5
implicit_species_no_enrichment,Morganella_Morganii,0.9315687681313097,0.007569516037039987,0.6283675654110855,0.05244453896077946,2667.4,21.6,5
implicit_species_no_enrichment,Proteus_Mirabilis,0.9182658425709163,0.007673726031206541,0.7081199919240078,0.04830994422759294,8607.6,27.2,5
implicit_species_no_enrichment,Proteus_Vulgaris,0.9768858675840084,0.009840681231070549,0.6912691144083933,0.08485914576882267,1294.8,11.8,5
implicit_species_no_enrichment,Pseudomonas_Aeruginosa,0.9470369365462876,0.004351729211674056,0.7642959057106674,0.039668316526296626,12675.2,16.6,5
implicit_species_no_enrichment,Serratia_Marcescens,0.9655079222346888,0.0030760718663275064,0.631712114157888,0.06467515175846034,3938.4,19.2,5
implicit_species_no_enrichment,Staphylococcus_Aureus,0.9254785144801012,0.01013956862645263,0.7618362297048843,0.03579982305531031,28443.4,33.6,5
implicit_species_no_enrichment,Staphylococcus_Capitis,0.9194034935246904,0.032612736098922714,0.8076590927614913,0.08212262167723215,1734.4,21.4,5
implicit_species_no_enrichment,Staphylococcus_Epidermidis,0.9291673145715377,0.007688106810929366,0.8092267006249326,0.017904786711391642,23216.8,33.0,5
implicit_species_no_enrichment,Staphylococcus_Haemolyticus,0.9176897011030688,0.02120023953733314,0.8281847001639979,0.04641287477878044,1303.0,24.2,5
implicit_species_no_enrichment,Staphylococcus_Hominis,0.8655483165633916,0.031915901500720614,0.7518639092104017,0.042935215305215754,3265.0,22.8,5
implicit_species_no_enrichment,Staphylococcus_Lugdunensis,0.8996338010354916,0.058144849967724344,0.7316351891460287,0.0607020855440488,1950.0,18.8,5
implicit_species_no_enrichment,Stenotrophomonas_Maltophilia,0.9725815216915553,0.007957959163087768,0.7119321393122482,0.10225642853258458,761.6,6.4,5
implicit_species_no_enrichment,Streptococcus_Pneumoniae,0.8222113952179144,0.02305548341020935,0.7173195506927005,0.031356034386998,1041.2,23.8,5
species_multihead_no_enrichment,Campylobacter_Jejuni,0.8937815635529084,0.038050905189154195,0.66247451906445,0.2095191197491762,223.6,3.4,5
species_multihead_no_enrichment,Candida_Albicans,0.8308677448202069,0.06090846138918003,0.7427654891510757,0.07371986628044915,471.8,7.8,5
species_multihead_no_enrichment,Citrobacter_Freundii,0.8957369254363645,0.007381261440320837,0.6433893154548279,0.06526755867899213,2086.8,21.8,5
species_multihead_no_enrichment,Citrobacter_Koseri,0.9549530593348958,0.015442339469232394,0.6631574006449743,0.08604963411542048,2728.4,18.6,5
species_multihead_no_enrichment,Enterobacter_Cloacae,0.9103995285256277,0.015283328212479984,0.6970710122173305,0.050267892283909536,4775.4,23.4,5
species_multihead_no_enrichment,Enterococcus_Faecalis,0.9872271101999353,0.0011453440822237811,0.7084682559948571,0.06061291957596552,14333.8,20.6,5
