species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9165981481996375,0.8510492876954947,0.0014395773445591287,0.0025200937637005483
Staphylococcus_Capitis,0.913313641560051,0.8462636069101375,0.0005847374233484137,0.016704356544573307
Enterococcus_Faecium,0.9667552837721347,0.7940338479283963,0.0009516831853417229,0.012419784169478643
Staphylococcus_Epidermidis,0.9158342402355638,0.7800869615331509,0.0007753611859230292,0.0016077860355830365
Staphylococcus_Hominis,0.8337152224448663,0.765485345357936,0.01031830348063889,0.004908230392019097
Klebsiella_Variicola,0.7948976686367137,0.7244744868624164,0.0044338333556991905,0.009948043415040686
Stenotrophomonas_Maltophilia,0.9195654024795366,0.722887141664038,0.01475208903377423,0.052362456083124176
Pseudomonas_Aeruginosa,0.9123614095567414,0.7170914476031801,0.003335259836334148,0.029793896669622844
Candida_Albicans,0.7525209660097292,0.716087628773647,0.03484558203297544,0.04584825322217656
Staphylococcus_Aureus,0.9060265407039314,0.7151659701054628,0.004167779305677299,0.005546531436135038
Streptococcus_Pneumoniae,0.7929647422965207,0.7000891794160979,0.032310434071598504,0.003995350156143551
Staphylococcus_Lugdunensis,0.854960135886227,0.6959079137887976,0.012157091377443807,0.015190180236914874
Proteus_Mirabilis,0.868815242223532,0.6850116894689032,0.006564508778363287,0.0005404547678118377
Serratia_Marcescens,0.8604900565904865,0.675408409775642,1.5187526477167257e-05,0.012732263115710074
Klebsiella_Pneumoniae,0.8323539498307204,0.66819073573237,0.007111670043677132,0.017603842690097904
Campylobacter_Jejuni,0.8873978612857313,0.663796792837624,0.005574975419380013,0.012345914816761283
Klebsiella_Oxytoca,0.8594423468293192,0.6613877642060394,0.031631301488562635,0.042072776898417485
Enterobacter_Cloacae,0.8104650550682135,0.6612511087951128,0.0025907489441601705,0.0315033713016053
Proteus_Vulgaris,0.9356760409692084,0.6571995452915174,0.0022400911126338463,0.08978035852360994
Escherichia_Coli,0.8321926393837393,0.6411877109569586,0.0009295980940742243,0.009704963820626744
Enterococcus_Faecalis,0.9744756922049173,0.6341039214553603,0.0006061790470469619,0.0037843817213485953
Citrobacter_Koseri,0.8714593601215819,0.6336232477424362,0.006726971035368012,0.03305714877720273
Haemophilus_Influenzae,0.7733526907755015,0.6244831586077746,0.022564743087592376,0.026592210229297752
Citrobacter_Freundii,0.8212575288338122,0.6244357683726955,0.018637098284482012,0.027044410091278392
Morganella_Morganii,0.876483956298336,0.6222122297839379,0.006617201870178168,0.003348754647341634
