species,auc_micro_mean,auc_macro_mean,auc_micro_std,auc_macro_std
Staphylococcus_Capitis,0.9280987568252224,0.8929419200925915,0.022687254895046093,0.027892492368172456
Staphylococcus_Haemolyticus,0.9218038790979681,0.8704343334178001,0.026842012078684602,0.042283488596424376
Staphylococcus_Epidermidis,0.9223057986936187,0.806327792251128,0.0071562645993369966,0.01838361697073985
Streptococcus_Pneumoniae,0.8138952809847881,0.7990826592490567,0.02550648067855038,0.01956689756366643
Staphylococcus_Hominis,0.8287778250008249,0.7898774730025317,0.02580914665588596,0.03956641882458179
Enterococcus_Faecium,0.9599455514012412,0.7850611255345419,0.005058892188888127,0.03156551961201536
Pseudomonas_Aeruginosa,0.9111086163173834,0.7722442466404902,0.008097111779004724,0.03496648078112814
Staphylococcus_Aureus,0.9087896660415167,0.743080173003848,0.005667896036699545,0.022946161660848154
Klebsiella_Variicola,0.739565032930835,0.7392629452453707,0.10266041440957488,0.0760385691233789
Serratia_Marcescens,0.8459624632963709,0.7215504363106839,0.005724402714964911,0.03270338009751775
Klebsiella_Oxytoca,0.8252031447605429,0.721471373747243,0.023761676975332054,0.042382134511782604
Haemophilus_Influenzae,0.7459441514114123,0.7105421216779756,0.04517800289435583,0.08252719007579067
Stenotrophomonas_Maltophilia,0.9244579438345977,0.707714407790529,0.014105978155517248,0.04338698100452605
Escherichia_Coli,0.8308981889593792,0.7067828636474438,0.013019456206352911,0.02415358811123993
Proteus_Vulgaris,0.933949455147706,0.6974125990882115,0.014397747232865053,0.08419101527828902
Candida_Albicans,0.7393074304258442,0.6940213713184263,0.06637532002879111,0.11827240905193694
Proteus_Mirabilis,0.8651486129592907,0.6934072656777227,0.010141673516228897,0.03436419781004712
Staphylococcus_Lugdunensis,0.8256280495425395,0.6857810720341578,0.026926183524699582,0.061606173201978746
Enterococcus_Faecalis,0.9602997517016698,0.6744572493089576,0.005799800540448999,0.03866822678435526
Klebsiella_Pneumoniae,0.8306525620003992,0.6675194783326104,0.004976559442186431,0.01218653315778113
Citrobacter_Freundii,0.807194240089449,0.648236582268183,0.02632519254687373,0.05906358120919536
Enterobacter_Cloacae,0.7620244827358548,0.6467037328125123,0.03665872895310746,0.03891926222177787
Citrobacter_Koseri,0.8412633997918608,0.6430976610261488,0.033668583915775124,0.054272695593392706
Morganella_Morganii,0.8520721108353335,0.6237990062112082,0.013445669298199745,0.04256676916379438
Campylobacter_Jejuni,0.8299665076362093,0.5683527810980687,0.023626489596580858,0.04063883438191426
