species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Capitis,0.9043222154897694,0.8134132964576248,0.014359821876257506,0.00797819157818802
Staphylococcus_Haemolyticus,0.8976679336891409,0.8068001042034284,0.030374643361201603,0.05690512652538038
Staphylococcus_Epidermidis,0.9235584046794638,0.8007478107628088,0.0035985066171315694,0.013397310980922339
Pseudomonas_Aeruginosa,0.9119954199068636,0.7936257592798314,0.0027720997390572877,0.0168049899379491
Klebsiella_Variicola,0.8486349930756389,0.7509466691964041,0.002639819348584038,0.007039003834728996
Enterococcus_Faecium,0.9579978481941028,0.7484282374522886,0.003796178702328512,0.0075448275035835954
Staphylococcus_Aureus,0.9061578590139094,0.7452145734879528,0.003202453487246626,0.0034904324660062214
Staphylococcus_Hominis,0.8007231301518305,0.7088148750517018,0.006438686858068476,0.017869291572054913
Streptococcus_Pneumoniae,0.7724490645304103,0.7082761984977348,0.030281779694635746,0.023834810934711292
Proteus_Mirabilis,0.8763185429465815,0.7049136695254412,0.0010157644939720045,0.005312698035971952
Klebsiella_Pneumoniae,0.8480346896417912,0.7007039474055481,0.001100463247258876,0.008682333481087323
Escherichia_Coli,0.8366127684799052,0.693359746829527,0.006303052383043073,0.012946920847210441
Klebsiella_Oxytoca,0.8490686685314326,0.6928849381472835,0.009807263056105242,0.029704811603606107
Stenotrophomonas_Maltophilia,0.919746481591829,0.6915448678895418,0.015657901708748645,0.009417239346647843
Staphylococcus_Lugdunensis,0.8402821977957704,0.684769719134716,0.0028354047004418015,0.003205814032960941
Proteus_Vulgaris,0.9405212108841081,0.6845752883947831,0.0039314867997328196,0.082643151789277
Serratia_Marcescens,0.8557768489351818,0.6843169330494462,0.00394903808396907,0.02250379704817107
Candida_Albicans,0.7456843036714337,0.6811319381677966,0.06392423725383312,0.059415619751870596
Enterococcus_Faecalis,0.9743644607128799,0.6767743925293174,0.000773174842595592,0.0006592158314771002
Citrobacter_Koseri,0.8701569158277516,0.6486776748053741,0.000742926305207614,0.009396752462577429
Campylobacter_Jejuni,0.8966400947471511,0.6481650264156963,0.0038325843982451313,0.04870204361045105
Haemophilus_Influenzae,0.7523500468847707,0.6335304650259749,0.011670755782586029,0.06877328960243334
Citrobacter_Freundii,0.8226637720567547,0.6292718688132288,0.0009632391616902214,0.008131238114295891
Enterobacter_Cloacae,0.76087605294541,0.6187112900717178,0.003325772091869017,0.0021167622164074973
Morganella_Morganii,0.8635277831539621,0.5974753903471557,0.005572288356362087,0.0042665189397902425
