species,auc_mean,auc_std
Stenotrophomonas_Maltophilia,0.9785204,0.0034058213
Enterococcus_Faecalis,0.9765049,0.00029173982
Proteus_Vulgaris,0.97628415,0.003961583
Serratia_Marcescens,0.9666546,0.004623251
Enterococcus_Faecium,0.95712405,0.0026207014
Citrobacter_Koseri,0.9479345,0.014911722
Klebsiella_Oxytoca,0.9334095,0.012562545
Morganella_Morganii,0.9325482,0.0066053243
Pseudomonas_Aeruginosa,0.91496944,0.0029470788
Citrobacter_Freundii,0.90472233,0.0056261998
Enterobacter_Cloacae,0.90288526,0.005711726
Proteus_Mirabilis,0.89902794,0.0056712725
Staphylococcus_Lugdunensis,0.89266986,0.020201486
Campylobacter_Jejuni,0.87572175,0.019673338
Klebsiella_Variicola,0.87336886,0.018706972
Staphylococcus_Aureus,0.863053,0.0039377757
Haemophilus_Influenzae,0.8354207,0.017300718
Staphylococcus_Haemolyticus,0.83061635,0.017946776
Staphylococcus_Epidermidis,0.8299564,0.0026418169
Escherichia_Coli,0.8120016,0.0025612265
Staphylococcus_Hominis,0.8072087,0.007327237
Staphylococcus_Capitis,0.8014948,0.010726026
Klebsiella_Pneumoniae,0.79842764,0.002050298
Streptococcus_Pneumoniae,0.7849249,0.02135238
Candida_Albicans,0.7843581,0.027606755
