model_mode,fold,n_train_samples,n_val_samples,n_antibiotics,n_train_pairs,n_val_pairs,fusion_input_dim,global_auc,macro_antibiotic_auc,antibiotics
species_only,0,53465,13367,69,879791,219314,64,0.9279629270143568,0.8538407463119064,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_only,1,53465,13367,68,878352,220681,64,0.9268694314544685,0.8527960977331871,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_only,2,53466,13366,68,879375,219658,64,0.9263938241115597,0.8471706167920007,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_only,3,53466,13366,68,879464,219343,64,0.9269463490056014,0.8551837733909745,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_only,4,53466,13366,71,879178,220041,64,0.9266369511282267,0.8643373604456656,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
global_plus_species,0,53465,13367,69,879791,219314,96,0.9273545733739479,0.8412596711131208,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
global_plus_species,1,53465,13367,68,878352,220681,96,0.9287805027861457,0.8468096713085965,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
global_plus_species,2,53466,13366,68,879375,219658,96,0.922990948901849,0.8563386983722522,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
global_plus_species,3,53466,13366,68,879464,219343,96,0.9283077510541424,0.8517155913511265,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
global_plus_species,4,53466,13366,71,879178,220041,96,0.9246436065882283,0.8468449188656733,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
