model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
species_only,0,0,5-Fluorocytosine,49,0.6041666666666667
species_only,0,1,Amikacin,8846,0.8771542722921644
species_only,0,2,Amoxicillin,34,0.9087719298245615
species_only,0,3,Amoxicillin-Clavulanic acid,5778,0.9160933805732374
species_only,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9272727272727272
species_only,0,5,Ampicillin,4228,0.9591018942143414
species_only,0,6,Anidulafungin,51,0.6217948717948718
species_only,0,7,Azithromycin,44,0.8307291666666666
species_only,0,8,Aztreonam,4270,0.8553974349572084
species_only,0,9,Benzylpenicillin,140,0.8431039365618804
species_only,0,10,Caspofungin,53,1.0
species_only,0,11,Cefazolin,1901,0.9425422706667802
species_only,0,12,Cefepime,10025,0.8819295631998159
species_only,0,13,Cefixime,2956,0.78706400803032
species_only,0,14,Cefotaxime,3816,0.8912253374870196
species_only,0,15,Cefoxitin,1210,0.952148755500263
species_only,0,16,Cefpodoxime,1291,0.9141045771949473
species_only,0,17,Ceftazidime,7669,0.8440845574077129
species_only,0,18,Ceftolozane-Tazobactam,17,0.5666666666666667
species_only,0,19,Ceftriaxone,5372,0.8969384378912608
species_only,0,20,Cefuroxime,6700,0.8783387748251748
species_only,0,21,Chloramphenicol,1562,0.9604571675330389
species_only,0,22,Ciprofloxacin,12143,0.8697137820658553
species_only,0,23,Clarithromycin,268,0.8026515151515152
species_only,0,24,Clindamycin,3313,0.8989544614795788
species_only,0,25,Colistin,7703,0.9796135830469108
species_only,0,26,Cotrimoxazol,299,0.7571374550954811
species_only,0,27,Cotrimoxazole,5566,0.8611514263328803
species_only,0,28,Daptomycin,3529,0.9111580364793732
species_only,0,29,Doxycycline,156,0.6332236842105263
species_only,0,30,Ertapenem,7256,0.9157257499299132
species_only,0,31,Erythromycin,3402,0.8931033427547682
species_only,0,32,Fluconazole,51,0.48
species_only,0,33,Fosfomycin,5947,0.726578299162246
species_only,0,34,Fusidic acid,2472,0.8557455969744001
species_only,0,35,Gentamicin,8248,0.909245079397708
species_only,0,36,Gentamicin_high_level,141,0.8016722408026755
species_only,0,37,Imipenem,11454,0.9694435822699761
species_only,0,38,Itraconazole,46,0.6416666666666667
species_only,0,39,Levofloxacin,9155,0.8828618748895869
species_only,0,40,Linezolid,3888,0.8498456013385752
species_only,0,41,Meropenem,9736,0.9461452128862251
species_only,0,42,Meropenem_with_meningitis,26,0.6944444444444444
species_only,0,43,Meropenem_without_meningitis,17,0.6666666666666667
species_only,0,44,Micafungin,52,0.8299319727891157
species_only,0,45,Minocycline,1925,0.8726443439754267
species_only,0,46,Moxifloxacin,196,0.9898160814713483
species_only,0,47,Mupirocin,1644,0.9604732533728253
species_only,0,48,Nitrofurantoin,4290,0.8957296226785911
species_only,0,49,Norfloxacin,4999,0.8635358382562314
species_only,0,50,Oxacillin,3116,0.9278964862298196
species_only,0,51,Penicillin,3416,0.9502251883310582
species_only,0,52,Penicillin_with_meningitis,59,0.9607843137254902
species_only,0,53,Penicillin_with_other_infections,59,0.9642857142857143
species_only,0,54,Penicillin_with_pneumonia,59,0.9655172413793104
species_only,0,55,Piperacillin,3757,0.9276711953817061
species_only,0,56,Piperacillin-Tazobactam,5912,0.870949123329645
species_only,0,57,Polymyxin B,501,0.9989522090924966
species_only,0,58,Posaconazole,48,0.29347826086956524
species_only,0,59,Pristinamycin,1333,0.9624546819496832
species_only,0,60,Rifampicin,2294,0.8848928896991797
species_only,0,61,Strepomycin_high_level,12,0.45
species_only,0,62,Teicoplanin,2830,0.9373988037279177
species_only,0,63,Tetracycline,3321,0.9068360036248513
species_only,0,64,Ticarcillin,1720,0.9217642657551668
species_only,0,65,Tigecycline,3683,0.9920294085847118
species_only,0,66,Tobramycin,9022,0.8788512956012173
species_only,0,67,Vancomycin,4169,0.9799816790602436
species_only,0,68,Voriconazole,53,0.9230769230769231
species_only,1,0,5-Fluorocytosine,73,0.9861111111111112
species_only,1,1,Amikacin,8917,0.8891384747619653
species_only,1,2,Amoxicillin,41,0.7696078431372549
species_only,1,3,Amoxicillin-Clavulanic acid,5737,0.909858349731125
species_only,1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,0.9833333333333333
species_only,1,5,Ampicillin,4266,0.9568177709482057
species_only,1,6,Anidulafungin,74,0.6006191950464397
species_only,1,7,Azithromycin,35,0.7735042735042734
