model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
species_only,0,0,Campylobacter_Jejuni,81,190,0.8733878968253969
species_only,0,1,Candida_Albicans,53,403,0.8421904761904762
species_only,0,2,Citrobacter_Freundii,131,2099,0.8838556811488365
species_only,0,3,Citrobacter_Koseri,160,2567,0.9474745322849286
species_only,0,4,Enterobacter_Cloacae,345,5131,0.9058913699969489
species_only,0,5,Enterococcus_Faecalis,925,14081,0.9886186480341378
species_only,0,6,Enterococcus_Faecium,465,5028,0.9768765584139146
species_only,0,7,Escherichia_Coli,1533,24374,0.8644792505909111
species_only,0,8,Haemophilus_Influenzae,170,579,0.8423163418290853
species_only,0,9,Klebsiella_Oxytoca,238,3941,0.923228726893627
species_only,0,10,Klebsiella_Pneumoniae,3850,68001,0.8730591759231441
species_only,0,11,Klebsiella_Variicola,147,2349,0.9441639505831295
species_only,0,12,Morganella_Morganii,158,2619,0.9289405684754523
species_only,0,13,Proteus_Mirabilis,473,8711,0.9176107192571599
species_only,0,14,Proteus_Vulgaris,86,1274,0.985931689064318
species_only,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9509450746458465
species_only,0,16,Serratia_Marcescens,245,3807,0.9734463712717645
species_only,0,17,Staphylococcus_Aureus,1413,27955,0.9395011924076223
species_only,0,18,Staphylococcus_Capitis,89,1827,0.922453487801286
species_only,0,19,Staphylococcus_Epidermidis,1128,22712,0.9314726484305135
species_only,0,20,Staphylococcus_Haemolyticus,55,1205,0.9497825931014694
species_only,0,21,Staphylococcus_Hominis,174,3715,0.8948755586493549
species_only,0,22,Staphylococcus_Lugdunensis,104,2135,0.8360542102330885
species_only,0,23,Stenotrophomonas_Maltophilia,131,609,0.9845834437671173
species_only,0,24,Streptococcus_Pneumoniae,123,1304,0.8608447370239823
species_only,1,0,Campylobacter_Jejuni,93,222,0.9221292635837088
species_only,1,1,Candida_Albicans,74,587,0.7956596035543404
species_only,1,2,Citrobacter_Freundii,133,2208,0.8800217292435191
species_only,1,3,Citrobacter_Koseri,165,2677,0.9678245947251795
species_only,1,4,Enterobacter_Cloacae,311,4634,0.9037618281490769
species_only,1,5,Enterococcus_Faecalis,895,14085,0.9842452203990549
species_only,1,6,Enterococcus_Faecium,428,4553,0.976059511958932
species_only,1,7,Escherichia_Coli,1578,25297,0.8684755721700499
species_only,1,8,Haemophilus_Influenzae,166,532,0.8184688623336249
species_only,1,9,Klebsiella_Oxytoca,251,4169,0.9284724158909133
species_only,1,10,Klebsiella_Pneumoniae,3838,67924,0.8729803345350134
species_only,1,11,Klebsiella_Variicola,112,1766,0.9480617335273333
species_only,1,12,Morganella_Morganii,166,2727,0.9407838598210589
species_only,1,13,Proteus_Mirabilis,482,8700,0.9153702602303755
species_only,1,14,Proteus_Vulgaris,93,1370,0.9803997956550982
species_only,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9424079804039984
species_only,1,16,Serratia_Marcescens,244,3880,0.9726925569029405
species_only,1,17,Staphylococcus_Aureus,1488,29631,0.9256926648146253
species_only,1,18,Staphylococcus_Capitis,90,1799,0.9474509161410121
species_only,1,19,Staphylococcus_Epidermidis,1137,23116,0.9345942744381848
species_only,1,20,Staphylococcus_Haemolyticus,56,1236,0.9185375460679852
species_only,1,21,Staphylococcus_Hominis,149,3117,0.886806928348287
species_only,1,22,Staphylococcus_Lugdunensis,89,1763,0.9488423444471931
species_only,1,23,Stenotrophomonas_Maltophilia,122,740,0.9731100963977676
species_only,1,24,Streptococcus_Pneumoniae,98,921,0.8313786770628604
species_only,2,0,Campylobacter_Jejuni,100,229,0.8681592039800995
species_only,2,1,Candida_Albicans,64,487,0.8606995060739554
species_only,2,2,Citrobacter_Freundii,115,1855,0.8768670692220181
species_only,2,3,Citrobacter_Koseri,171,2732,0.9500802790874174
species_only,2,4,Enterobacter_Cloacae,324,4816,0.9077058476383851
species_only,2,5,Enterococcus_Faecalis,981,14954,0.9875403080163807
species_only,2,6,Enterococcus_Faecium,462,4954,0.9744878680880533
