species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.8942278156938888,0.8202208977245234,0.00536750478150072,0.004775730623280072
Staphylococcus_Capitis,0.9022850374927254,0.8013381619904727,0.015401353386371885,0.021269352907663797
Enterococcus_Faecium,0.9646298200791747,0.8001730267689713,0.0012883917572490966,0.003282720790936333
Pseudomonas_Aeruginosa,0.9136761190252667,0.7956428106509539,0.004938611759893907,0.02248715838604093
Staphylococcus_Epidermidis,0.914398523795095,0.7885319466369318,0.00020764458718114387,0.014480633032653012
Staphylococcus_Aureus,0.8943523326183196,0.7464939282394204,0.005210111040559184,0.029712814924654718
Klebsiella_Variicola,0.8261311134413782,0.7448933191438918,0.00306803609795564,0.0034195106895607563
Klebsiella_Pneumoniae,0.8564407757905619,0.718406282481938,0.0013577238051404872,0.005291151535439131
Stenotrophomonas_Maltophilia,0.9148379957196366,0.7112482712268497,0.028025740805882937,0.03334310401754903
Staphylococcus_Lugdunensis,0.8679833428790287,0.7062419615579631,0.02990241850045655,0.022869803665186927
Serratia_Marcescens,0.8756288443034876,0.6984600798182474,0.00656581532808187,0.012843876238548713
Proteus_Mirabilis,0.8867616341483325,0.6976544930569661,0.003131535119691331,0.021748037849908475
Enterococcus_Faecalis,0.9786286218486258,0.6954510767706894,0.0010042090250528823,0.0035253821050570955
Klebsiella_Oxytoca,0.8544726503934921,0.6880440938959629,0.018478549331479244,0.013839446290868918
Escherichia_Coli,0.8425658984620902,0.6806508074768496,0.003315946174700213,0.016530685821562585
Staphylococcus_Hominis,0.7832732673479617,0.6666218579355054,0.018458125950553628,0.010475837155527912
Candida_Albicans,0.7183203304056651,0.6660751061292591,0.015696835179430157,0.0452858586254668
Streptococcus_Pneumoniae,0.7591380729624895,0.6564249325836555,0.02357982488214866,0.009773861573033449
Citrobacter_Koseri,0.8689181784114308,0.6549129798870035,0.007147141979162663,0.013164930870752767
Citrobacter_Freundii,0.8158415450857928,0.6388842207745121,0.006533822213375451,0.006768623591773437
Enterobacter_Cloacae,0.7868714825275435,0.6303663092519032,0.007366541690410067,0.03806105126619913
Proteus_Vulgaris,0.9319546187149101,0.6257102196420331,0.0017714937842457368,0.12894054621324544
Campylobacter_Jejuni,0.9014601995680609,0.6143142147979092,0.0011639873036127235,0.004628567306594444
Haemophilus_Influenzae,0.7595095337563047,0.599726268500541,0.020734719421998393,0.04766874515640995
Morganella_Morganii,0.8811874417850547,0.5996964528475833,0.0023207464271311484,0.03325350078166833
