species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Citrobacter_Freundii,5-Fluorocytosine,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Amikacin,0.3654661016949153,126,8,118,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Amoxicillin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Amoxicillin-Clavulanic acid,,86,86,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Amoxicillin-Clavulanic acid_uncomplicated_HWI,1.0,3,1,2,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Amphotericin B,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ampicillin,,56,56,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ampicillin-Sulbactam,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Anidulafungin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Azithromycin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Aztreonam,0.42307692307692313,39,13,26,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Bacitracin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Benzylpenicillin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Benzylpenicillin_others,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Benzylpenicillin_with_meningitis,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Benzylpenicillin_with_pneumonia,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Caspofungin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefalotin-Cefazolin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefazolin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefepime,0.9354838709677419,127,3,124,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefixime,0.6656804733727811,39,13,26,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefotaxime,0.6390532544378698,39,13,26,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefoxitin,,44,44,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefoxitin_screen,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefpodoxime,,37,37,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftarolin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftazidime,0.567251461988304,128,38,90,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftazidime-Avibactam,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftobiprole,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftolozane-Tazobactam,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ceftriaxone,0.5102163461538461,90,26,64,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefuroxime,0.735042735042735,22,9,13,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cefuroxime.1,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Chloramphenicol,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ciprofloxacin,0.8602150537634409,130,6,124,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Clarithromycin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Clindamycin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Clindamycin_induced,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Colistin,0.3080357142857143,114,2,112,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cotrimoxazol,,4,0,4,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Cotrimoxazole,0.6083333333333334,86,6,80,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Daptomycin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Doxycycline,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ertapenem,0.9743589743589743,118,1,117,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Erythromycin,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Ethambutol_5mg-l,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Fluconazole,,0,0,0,0.9083543683244326,0.6804944325916565
Citrobacter_Freundii,Fosfomycin,0.5388888888888889,49,4,45,0.9083543683244326,0.6804944325916565
