species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Enterobacter_Cloacae,5-Fluorocytosine,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Amikacin,0.9762675296655879,312,3,309,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Amoxicillin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Amoxicillin-Clavulanic acid,,300,300,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Amphotericin B,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ampicillin,,58,58,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ampicillin-Sulbactam,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Anidulafungin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Azithromycin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Aztreonam,0.32857142857142857,19,5,14,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Bacitracin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Benzylpenicillin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Benzylpenicillin_others,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Benzylpenicillin_with_meningitis,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Benzylpenicillin_with_pneumonia,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Caspofungin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefalotin-Cefazolin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefazolin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefepime,0.6974603174603174,305,35,270,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefixime,0.4404761904761905,19,7,12,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefotaxime,0.11666666666666667,19,4,15,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefoxitin,,31,31,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefoxitin_screen,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefpodoxime,,92,92,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftarolin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftazidime,0.6733768765841295,315,92,223,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftazidime-Avibactam,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftobiprole,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftolozane-Tazobactam,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ceftriaxone,0.6728986645718775,296,95,201,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefuroxime,0.8660968660968661,40,27,13,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cefuroxime.1,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Chloramphenicol,,11,0,11,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ciprofloxacin,0.6455627705627704,320,12,308,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Clarithromycin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Clindamycin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Clindamycin_induced,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Colistin,0.49330900243308995,280,6,274,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cotrimoxazol,0.0,13,1,12,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Cotrimoxazole,0.6553884711779449,287,21,266,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Daptomycin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Doxycycline,,1,1,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ertapenem,0.7244505494505494,288,28,260,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Erythromycin,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Ethambutol_5mg-l,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Fluconazole,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Fosfomycin,0.5889328063241106,45,22,23,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Fusidic acid,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Gentamicin,0.6160714285714286,58,2,56,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Gentamicin_high_level,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Imipenem,0.9485530546623794,312,1,311,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Isavuconazole,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Isoniazid_.1mg-l,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Isoniazid_.4mg-l,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Itraconazole,,0,0,0,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Levofloxacin,0.6588765887658877,280,9,271,0.9180166600725921,0.6010583472886787
Enterobacter_Cloacae,Linezolid,,0,0,0,0.9180166600725921,0.6010583472886787
