species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Escherichia_Coli,5-Fluorocytosine,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Amikacin,0.6889704084128148,1453,90,1363,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Amoxicillin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Amoxicillin-Clavulanic acid,0.6350203977562469,1153,265,888,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,8,0,8,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Amphotericin B,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ampicillin,0.615646551724138,548,348,200,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ampicillin-Sulbactam,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Anidulafungin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Azithromycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Aztreonam,0.6990020886516594,340,62,278,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Bacitracin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Benzylpenicillin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Benzylpenicillin_others,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Benzylpenicillin_with_meningitis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Benzylpenicillin_with_pneumonia,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Caspofungin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefalotin-Cefazolin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefazolin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefepime,0.8067050811943426,1468,249,1219,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefixime,0.673213831680651,333,57,276,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefotaxime,0.6985263656270344,338,61,277,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefoxitin,0.6341463414634145,48,7,41,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefoxitin_screen,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefpodoxime,0.8187856472456863,414,171,243,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftarolin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftazidime,0.7899758853267723,1513,261,1252,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftazidime-Avibactam,,1,0,1,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftobiprole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftolozane-Tazobactam,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ceftriaxone,0.8278249841471148,1199,249,950,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefuroxime,0.9251375269074384,559,333,226,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cefuroxime.1,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Chloramphenicol,0.5298022598870056,266,30,236,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ciprofloxacin,0.7456157206899974,1512,443,1069,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Clarithromycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Clindamycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Clindamycin_induced,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Colistin,0.6058800922367409,1305,4,1301,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cotrimoxazol,0.5153061224489796,42,14,28,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Cotrimoxazole,0.6465549738219896,1132,382,750,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Daptomycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Doxycycline,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ertapenem,0.7897853441894892,1359,8,1351,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Erythromycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ethambutol_5mg-l,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Fluconazole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Fosfomycin,0.5853353353353353,471,27,444,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Fusidic acid,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Gentamicin,0.633903007762921,560,69,491,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Gentamicin_high_level,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Imipenem,0.679322033898305,1478,3,1475,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Isavuconazole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Isoniazid_.1mg-l,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Isoniazid_.4mg-l,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Itraconazole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Levofloxacin,0.7415122669426668,1284,379,905,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Linezolid,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,MRSA,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Meropenem,0.8770491803278688,1343,1,1342,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Meropenem-Vaborbactam,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Meropenem_with_meningitis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Meropenem_with_pneumonia,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Meropenem_without_meningitis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Metronidazole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Micafungin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Minocycline,,5,0,5,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Moxifloxacin,,1,0,1,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Mupirocin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Nitrofurantoin,0.5767410412440838,499,6,493,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Norfloxacin,0.7298854160168029,488,137,351,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Novobiocin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ofloxacin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Oxacillin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Pefloxacin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_with_endokarditis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_with_meningitis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_with_other_infections,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_with_pneumonia,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_without_endokarditis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Penicillin_without_meningitis,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Piperacillin,0.5638491439913986,327,214,113,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Piperacillin-Tazobactam,0.6644271760833198,1115,71,1044,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Polymyxin B,,186,0,186,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Posaconazole,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Pristinamycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Pyrazinamide,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Rifampicin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Rifampicin_1mg-l,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Sparfloxacin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Strepomycin_high_level,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Streptomycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Teicoplanin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Teicoplanin_GRD,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Telithromycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Tetracycline,,1,1,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ticarcillin,0.5637844611528822,324,210,114,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Ticarcillin-Clavulan acid,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Tigecycline,0.575,338,320,18,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Tobramycin,0.6760125481860599,1286,197,1089,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Vancomycin,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Vancomycin_GRD,,0,0,0,0.8708290616311292,0.6837573744784387
Escherichia_Coli,Voriconazole,,0,0,0,0.8708290616311292,0.6837573744784387
