species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Klebsiella_Oxytoca,5-Fluorocytosine,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Amikacin,,238,0,238,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Amoxicillin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Amoxicillin-Clavulanic acid,0.5780254777070064,173,16,157,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Amphotericin B,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Ampicillin,,106,106,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Ampicillin-Sulbactam,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Anidulafungin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Azithromycin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Aztreonam,0.593162393162393,74,9,65,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Bacitracin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Benzylpenicillin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Benzylpenicillin_others,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Benzylpenicillin_with_meningitis,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Benzylpenicillin_with_pneumonia,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Caspofungin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Cefalotin-Cefazolin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Cefazolin,,0,0,0,0.9580131277731504,0.7098559614520842
Klebsiella_Oxytoca,Cefepime,0.7375886524822695,238,3,235,0.9580131277731504,0.7098559614520842
