species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Klebsiella_Variicola,5-Fluorocytosine,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Amikacin,0.9545454545454546,133,1,132,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Amoxicillin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Amoxicillin-Clavulanic acid,0.6694915254237288,119,1,118,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Amphotericin B,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ampicillin,,27,27,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ampicillin-Sulbactam,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Anidulafungin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Azithromycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Aztreonam,,14,0,14,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Bacitracin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Benzylpenicillin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Benzylpenicillin_others,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Benzylpenicillin_with_meningitis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Benzylpenicillin_with_pneumonia,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Caspofungin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefalotin-Cefazolin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefazolin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefepime,,133,0,133,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefixime,,14,0,14,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefotaxime,,14,0,14,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefoxitin,,13,0,13,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefoxitin_screen,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefpodoxime,,64,0,64,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftarolin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftazidime,,133,0,133,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftazidime-Avibactam,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftobiprole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftolozane-Tazobactam,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ceftriaxone,,119,0,119,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefuroxime,0.9230769230769231,27,1,26,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cefuroxime.1,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Chloramphenicol,,1,0,1,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ciprofloxacin,0.9618320610687023,133,2,131,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Clarithromycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Clindamycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Clindamycin_induced,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Colistin,,120,0,120,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cotrimoxazol,,13,0,13,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Cotrimoxazole,0.8990384615384616,106,2,104,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Daptomycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Doxycycline,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ertapenem,,133,0,133,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Erythromycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ethambutol_5mg-l,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Fluconazole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Fosfomycin,0.6190476190476191,26,5,21,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Fusidic acid,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Gentamicin,,27,0,27,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Gentamicin_high_level,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Imipenem,,133,0,133,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Isavuconazole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Isoniazid_.1mg-l,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Isoniazid_.4mg-l,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Itraconazole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Levofloxacin,,120,0,120,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Linezolid,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,MRSA,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Meropenem,,133,0,133,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Meropenem-Vaborbactam,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Meropenem_with_meningitis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Meropenem_with_pneumonia,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Meropenem_without_meningitis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Metronidazole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Micafungin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Minocycline,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Moxifloxacin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Mupirocin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Nitrofurantoin,0.6153846153846154,14,13,1,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Norfloxacin,0.9715909090909092,90,2,88,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Novobiocin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Ofloxacin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Oxacillin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Pefloxacin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_with_endokarditis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_with_meningitis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_with_other_infections,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_with_pneumonia,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_without_endokarditis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Penicillin_without_meningitis,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Piperacillin,,3,3,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Piperacillin-Tazobactam,,118,0,118,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Polymyxin B,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Posaconazole,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Pristinamycin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Pyrazinamide,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Rifampicin,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Rifampicin_1mg-l,,0,0,0,0.9883133376567229,0.8431997205714223
Klebsiella_Variicola,Sparfloxacin,,0,0,0,0.9883133376567229,0.8431997205714223
