species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Morganella_Morganii,5-Fluorocytosine,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Amikacin,0.24,151,1,150,0.94329725475125,0.5957537315417613
Morganella_Morganii,Amoxicillin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Amoxicillin-Clavulanic acid,,100,100,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Amphotericin B,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ampicillin,,92,92,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ampicillin-Sulbactam,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Anidulafungin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Azithromycin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Aztreonam,0.4557823129251701,63,21,42,0.94329725475125,0.5957537315417613
Morganella_Morganii,Bacitracin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Benzylpenicillin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Benzylpenicillin_others,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Benzylpenicillin_with_meningitis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Benzylpenicillin_with_pneumonia,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Caspofungin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefalotin-Cefazolin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefazolin,,1,1,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefepime,0.7885906040268457,151,2,149,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefixime,0.4871794871794872,47,21,26,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefotaxime,0.6168831168831168,50,22,28,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefoxitin,,7,7,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefoxitin_screen,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefpodoxime,,30,30,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftarolin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftazidime,0.6786964129483813,163,36,127,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftazidime-Avibactam,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftobiprole,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftolozane-Tazobactam,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ceftriaxone,0.615530303030303,100,12,88,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefuroxime,,29,29,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cefuroxime.1,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Chloramphenicol,0.28,26,1,25,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ciprofloxacin,0.7341563786008231,162,27,135,0.94329725475125,0.5957537315417613
Morganella_Morganii,Clarithromycin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Clindamycin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Clindamycin_induced,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Colistin,,134,134,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cotrimoxazol,0.6,6,1,5,0.94329725475125,0.5957537315417613
Morganella_Morganii,Cotrimoxazole,0.7535596933187295,94,11,83,0.94329725475125,0.5957537315417613
Morganella_Morganii,Daptomycin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Doxycycline,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ertapenem,0.28057553956834536,140,1,139,0.94329725475125,0.5957537315417613
Morganella_Morganii,Erythromycin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ethambutol_5mg-l,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Fluconazole,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Fosfomycin,0.5720720720720721,83,74,9,0.94329725475125,0.5957537315417613
Morganella_Morganii,Fusidic acid,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Gentamicin,0.6644219977553311,92,11,81,0.94329725475125,0.5957537315417613
Morganella_Morganii,Gentamicin_high_level,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Imipenem,0.7782734190501182,140,103,37,0.94329725475125,0.5957537315417613
Morganella_Morganii,Isavuconazole,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Isoniazid_.1mg-l,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Isoniazid_.4mg-l,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Itraconazole,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Levofloxacin,0.7261818181818183,135,25,110,0.94329725475125,0.5957537315417613
Morganella_Morganii,Linezolid,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,MRSA,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Meropenem,,137,0,137,0.94329725475125,0.5957537315417613
Morganella_Morganii,Meropenem-Vaborbactam,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Meropenem_with_meningitis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Meropenem_with_pneumonia,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Meropenem_without_meningitis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Metronidazole,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Micafungin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Minocycline,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Moxifloxacin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Mupirocin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Nitrofurantoin,0.22839506172839505,83,81,2,0.94329725475125,0.5957537315417613
Morganella_Morganii,Norfloxacin,0.6892109500805152,87,18,69,0.94329725475125,0.5957537315417613
Morganella_Morganii,Novobiocin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Ofloxacin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Oxacillin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Pefloxacin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_with_endokarditis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_with_meningitis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_with_other_infections,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_with_pneumonia,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_without_endokarditis,,0,0,0,0.94329725475125,0.5957537315417613
Morganella_Morganii,Penicillin_without_meningitis,,0,0,0,0.94329725475125,0.5957537315417613
