species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Proteus_Mirabilis,5-Fluorocytosine,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Amikacin,0.680908391070054,445,12,433,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Amoxicillin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Amoxicillin-Clavulanic acid,0.6129032258064516,236,19,217,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,2,2,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Amphotericin B,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ampicillin,0.5579497524298551,297,133,164,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ampicillin-Sulbactam,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Anidulafungin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Azithromycin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Aztreonam,0.7946969696969698,238,18,220,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Bacitracin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Benzylpenicillin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Benzylpenicillin_others,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Benzylpenicillin_with_meningitis,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Benzylpenicillin_with_pneumonia,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Caspofungin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefalotin-Cefazolin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefazolin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefepime,0.8178236652628719,450,17,433,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefixime,0.7329614358476837,236,19,217,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefotaxime,0.7780314561136479,237,18,219,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefoxitin,0.75,22,2,20,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefoxitin_screen,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefpodoxime,0.7553191489361701,96,2,94,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftarolin,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftazidime,0.8191154160345431,470,19,451,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftazidime-Avibactam,,1,0,1,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftobiprole,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftolozane-Tazobactam,,0,0,0,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Ceftriaxone,0.715527950310559,237,7,230,0.9208851845524331,0.7081949623604853
Proteus_Mirabilis,Cefuroxime,0.9013129573826948,294,92,202,0.9208851845524331,0.7081949623604853
