species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Proteus_Vulgaris,5-Fluorocytosine,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Amikacin,0.8611111111111112,73,1,72,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Amoxicillin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Amoxicillin-Clavulanic acid,0.5694164989939638,78,7,71,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Amphotericin B,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ampicillin,,32,32,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ampicillin-Sulbactam,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Anidulafungin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Azithromycin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Aztreonam,,8,0,8,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Bacitracin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Benzylpenicillin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Benzylpenicillin_others,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Benzylpenicillin_with_meningitis,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Benzylpenicillin_with_pneumonia,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Caspofungin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefalotin-Cefazolin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefazolin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefepime,0.5833333333333333,73,1,72,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefixime,,8,0,8,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefotaxime,,8,0,8,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefoxitin,,4,0,4,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefoxitin_screen,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefpodoxime,0.6476190476190475,26,5,21,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftarolin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftazidime,0.7176470588235294,86,1,85,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftazidime-Avibactam,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftobiprole,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftolozane-Tazobactam,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ceftriaxone,,78,0,78,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefuroxime,,32,32,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cefuroxime.1,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Chloramphenicol,,5,0,5,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ciprofloxacin,0.9883720930232558,87,1,86,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Clarithromycin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Clindamycin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Clindamycin_induced,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Colistin,,63,63,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cotrimoxazol,0.33333333333333337,4,1,3,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Cotrimoxazole,0.7771428571428571,75,5,70,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Daptomycin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Doxycycline,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ertapenem,,67,0,67,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Erythromycin,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Ethambutol_5mg-l,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Fluconazole,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Fosfomycin,0.7571428571428571,27,7,20,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Fusidic acid,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Gentamicin,0.8709677419354839,32,1,31,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Gentamicin_high_level,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Imipenem,0.5900178253119429,62,51,11,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Isavuconazole,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Isoniazid_.1mg-l,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Isoniazid_.4mg-l,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Itraconazole,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Levofloxacin,0.9516129032258065,63,1,62,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Linezolid,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,MRSA,,0,0,0,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Meropenem,,67,0,67,0.984548765569395,0.723521629009658
Proteus_Vulgaris,Meropenem-Vaborbactam,,0,0,0,0.984548765569395,0.723521629009658
