species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Pseudomonas_Aeruginosa,5-Fluorocytosine,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Amikacin,0.7413378484491558,897,48,849,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Amoxicillin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Amoxicillin-Clavulanic acid,,73,73,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Amphotericin B,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Ampicillin,,413,413,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Ampicillin-Sulbactam,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Anidulafungin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Azithromycin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Aztreonam,0.8736051265053585,473,431,42,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Bacitracin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Benzylpenicillin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Benzylpenicillin_others,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Benzylpenicillin_with_meningitis,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Benzylpenicillin_with_pneumonia,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Caspofungin,,0,0,0,0.9503815255321378,0.7793725981438663
Pseudomonas_Aeruginosa,Cefalotin-Cefazolin,,0,0,0,0.9503815255321378,0.7793725981438663
