species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Serratia_Marcescens,5-Fluorocytosine,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Amikacin,0.8826549594463874,240,89,151,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Amoxicillin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Amoxicillin-Clavulanic acid,,191,191,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Amphotericin B,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ampicillin,,83,83,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ampicillin-Sulbactam,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Anidulafungin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Azithromycin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Aztreonam,0.3230769230769231,57,5,52,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Bacitracin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Benzylpenicillin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Benzylpenicillin_others,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Benzylpenicillin_with_meningitis,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Benzylpenicillin_with_pneumonia,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Caspofungin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefalotin-Cefazolin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefazolin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefepime,0.7458677685950413,244,2,242,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefixime,0.6444444444444445,44,9,35,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefotaxime,0.425,44,4,40,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefoxitin,,64,64,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefoxitin_screen,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefpodoxime,,23,23,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftarolin,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftazidime,0.7372458764863828,248,11,237,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftazidime-Avibactam,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftobiprole,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftolozane-Tazobactam,,0,0,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Ceftriaxone,0.7969858156028369,194,6,188,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefuroxime,,83,83,0,0.9747403121857952,0.6867760733375161
Serratia_Marcescens,Cefuroxime.1,,0,0,0,0.9747403121857952,0.6867760733375161
