species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Staphylococcus_Aureus,5-Fluorocytosine,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Amikacin,0.5501413227812323,351,61,290,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Amoxicillin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Amoxicillin-Clavulanic acid,0.9103341740777267,918,149,769,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Amphotericin B,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ampicillin,0.6306878306878307,483,378,105,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ampicillin-Sulbactam,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Anidulafungin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Azithromycin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Aztreonam,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Bacitracin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Benzylpenicillin,0.6912878787878788,68,44,24,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Benzylpenicillin_others,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Benzylpenicillin_with_meningitis,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Benzylpenicillin_with_pneumonia,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Caspofungin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefalotin-Cefazolin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefazolin,0.9197202521670607,717,141,576,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefepime,0.9218242816373657,785,143,642,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefixime,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefotaxime,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefoxitin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefoxitin_screen,,2,0,2,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefpodoxime,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftarolin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftazidime,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftazidime-Avibactam,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftobiprole,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftolozane-Tazobactam,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ceftriaxone,0.9199295705279749,717,141,576,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefuroxime,0.9209145981087471,717,141,576,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cefuroxime.1,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Chloramphenicol,0.4672364672364672,353,2,351,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Ciprofloxacin,0.9340539399540246,1290,479,811,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Clarithromycin,0.5717821782178217,117,16,101,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Clindamycin,0.7084807505831172,1203,237,966,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Clindamycin_induced,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Colistin,,0,0,0,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cotrimoxazol,0.33333333333333337,67,1,66,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Cotrimoxazole,0.6204016130359642,867,29,838,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Daptomycin,0.555699481865285,1164,6,1158,0.9401401846823487,0.7225748186693857
Staphylococcus_Aureus,Doxycycline,0.6956521739130436,117,2,115,0.9401401846823487,0.7225748186693857
