species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Staphylococcus_Capitis,5-Fluorocytosine,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Amikacin,,5,0,5,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Amoxicillin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Amoxicillin-Clavulanic acid,0.9288135593220339,69,10,59,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Amphotericin B,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ampicillin,0.4,6,1,5,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ampicillin-Sulbactam,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Anidulafungin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Azithromycin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Aztreonam,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Bacitracin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Benzylpenicillin,,7,7,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Benzylpenicillin_others,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Benzylpenicillin_with_meningitis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Benzylpenicillin_with_pneumonia,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Caspofungin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefalotin-Cefazolin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefazolin,0.9392156862745098,61,10,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefepime,0.9327586206896552,68,10,58,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefixime,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefotaxime,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefoxitin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefoxitin_screen,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefpodoxime,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftarolin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftazidime,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftazidime-Avibactam,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftobiprole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftolozane-Tazobactam,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ceftriaxone,0.9313725490196078,61,10,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefuroxime,0.9333333333333333,61,10,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cefuroxime.1,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Chloramphenicol,,5,0,5,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ciprofloxacin,0.7582582582582582,83,9,74,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Clarithromycin,,1,0,1,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Clindamycin,0.7329749103942651,71,9,62,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Clindamycin_induced,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Colistin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cotrimoxazol,,7,0,7,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Cotrimoxazole,0.6553030303030303,70,4,66,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Daptomycin,0.9624999999999999,82,2,80,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Doxycycline,,1,0,1,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ertapenem,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Erythromycin,0.7891791044776119,75,8,67,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ethambutol_5mg-l,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Fluconazole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Fosfomycin,0.65,12,10,2,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Fusidic acid,0.9565807327001357,78,11,67,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Gentamicin,0.955223880597015,71,4,67,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Gentamicin_high_level,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Imipenem,0.8771241830065359,66,15,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Isavuconazole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Isoniazid_.1mg-l,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Isoniazid_.4mg-l,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Itraconazole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Levofloxacin,0.48571428571428577,12,5,7,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Linezolid,,70,0,70,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,MRSA,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Meropenem,0.9294117647058823,61,10,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Meropenem-Vaborbactam,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Meropenem_with_meningitis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Meropenem_with_pneumonia,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Meropenem_without_meningitis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Metronidazole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Micafungin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Minocycline,,5,0,5,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Moxifloxacin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Mupirocin,,14,0,14,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Nitrofurantoin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Norfloxacin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Novobiocin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Ofloxacin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Oxacillin,0.9377934272300469,83,12,71,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Pefloxacin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin,0.29310344827586204,59,58,1,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_with_endokarditis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_with_meningitis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_with_other_infections,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_with_pneumonia,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_without_endokarditis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Penicillin_without_meningitis,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Piperacillin,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Piperacillin-Tazobactam,0.9333333333333333,61,10,51,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Polymyxin B,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Posaconazole,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Pristinamycin,,5,0,5,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Pyrazinamide,,0,0,0,0.9399934756350234,0.7899362501926727
Staphylococcus_Capitis,Rifampicin,0.935064935064935,78,1,77,0.9399934756350234,0.7899362501926727
