species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Staphylococcus_Hominis,5-Fluorocytosine,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Amikacin,1.0,3,1,2,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Amoxicillin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Amoxicillin-Clavulanic acid,0.7997709049255441,142,45,97,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Amphotericin B,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ampicillin,0.5,3,2,1,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ampicillin-Sulbactam,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Anidulafungin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Azithromycin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Aztreonam,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Bacitracin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Benzylpenicillin,,8,8,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Benzylpenicillin_others,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Benzylpenicillin_with_meningitis,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Benzylpenicillin_with_pneumonia,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Caspofungin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefalotin-Cefazolin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefazolin,0.8052434456928839,134,45,89,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefepime,0.7979381443298968,142,45,97,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefixime,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefotaxime,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefoxitin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefoxitin_screen,,1,0,1,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Cefpodoxime,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ceftarolin,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ceftazidime,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ceftazidime-Avibactam,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ceftobiprole,,0,0,0,0.8769470321324692,0.7396458660589509
Staphylococcus_Hominis,Ceftolozane-Tazobactam,,0,0,0,0.8769470321324692,0.7396458660589509
