species,antibiotic,auc,n_obs,n_pos,n_neg,test_micro_auc_species,test_macro_auc_species
Staphylococcus_Lugdunensis,5-Fluorocytosine,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Amikacin,,15,0,15,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Amoxicillin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Amoxicillin-Clavulanic acid,0.6888888888888889,78,3,75,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Amphotericin B,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ampicillin,0.7032967032967032,34,21,13,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ampicillin-Sulbactam,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Anidulafungin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Azithromycin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Aztreonam,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Bacitracin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Benzylpenicillin,0.5499999999999999,9,4,5,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Benzylpenicillin_others,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Benzylpenicillin_with_meningitis,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Benzylpenicillin_with_pneumonia,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Caspofungin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefalotin-Cefazolin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefazolin,0.6770833333333334,50,2,48,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefepime,0.7105263157894737,59,2,57,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefixime,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefotaxime,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefoxitin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefoxitin_screen,,1,0,1,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefpodoxime,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftarolin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftazidime,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftazidime-Avibactam,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftobiprole,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftolozane-Tazobactam,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ceftriaxone,0.6458333333333333,50,2,48,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefuroxime,0.6145833333333333,50,2,48,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cefuroxime.1,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Chloramphenicol,,16,0,16,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ciprofloxacin,0.922077922077922,94,17,77,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Clarithromycin,0.5128205128205128,16,3,13,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Clindamycin,0.4925201380897583,90,11,79,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Clindamycin_induced,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Colistin,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cotrimoxazol,,9,0,9,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Cotrimoxazole,0.7246376811594203,70,1,69,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Daptomycin,,75,0,75,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Doxycycline,0.8,16,1,15,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ertapenem,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Erythromycin,0.5266524520255863,74,7,67,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Ethambutol_5mg-l,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Fluconazole,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Fosfomycin,,9,0,9,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Fusidic acid,0.7725225225225225,80,6,74,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Gentamicin,,92,0,92,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Gentamicin_high_level,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Imipenem,0.9411764705882353,65,17,48,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Isavuconazole,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Isoniazid_.1mg-l,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Isoniazid_.4mg-l,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Itraconazole,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Levofloxacin,0.9703703703703703,24,15,9,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Linezolid,,73,0,73,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,MRSA,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Meropenem,0.7083333333333334,50,2,48,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Meropenem-Vaborbactam,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Meropenem_with_meningitis,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Meropenem_with_pneumonia,,0,0,0,0.8992389260631534,0.7093500624802002
Staphylococcus_Lugdunensis,Meropenem_without_meningitis,,0,0,0,0.8992389260631534,0.7093500624802002
