species,n_total,n_train,n_val,n_test,num_antibiotics,best_epoch,best_val_micro_auc,final_test_micro_auc,final_test_macro_auc,spectrum_mse,spectrum_mae,spectrum_cosine,auc_csv
Staphylococcus_Aureus,7241,4633,1159,1449,104,4,0.9427770785943813,0.9401401846823487,0.7225748186693857,0.1476816087961197,0.3237282633781433,0.36353498697280884,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Staphylococcus_Aureus_aucs_per_antibiotic.csv
Staphylococcus_Epidermidis,5731,3667,917,1147,104,5,0.9254206071046992,0.9286193746198577,0.7856853903238501,0.1837603598833084,0.36970946192741394,0.3976846933364868,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Staphylococcus_Epidermidis_aucs_per_antibiotic.csv
Escherichia_Coli,7729,4946,1237,1546,104,8,0.8697036741338999,0.8708290616311292,0.6837573744784387,0.16792145371437073,0.36419904232025146,0.3976711630821228,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Escherichia_Coli_aucs_per_antibiotic.csv
Klebsiella_Pneumoniae,19265,12329,3083,3853,104,18,0.8684170821402037,0.8701583568016583,0.7611002962776846,0.10899296402931213,0.29036518931388855,0.3995855450630188,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Klebsiella_Pneumoniae_aucs_per_antibiotic.csv
Pseudomonas_Aeruginosa,5355,3427,857,1071,104,10,0.9508563003406615,0.9503815255321378,0.7793725981438663,0.16924458742141724,0.3669862151145935,0.3879750967025757,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Pseudomonas_Aeruginosa_aucs_per_antibiotic.csv
Enterobacter_Cloacae,1607,1028,257,322,104,12,0.9342441650112296,0.9180166600725921,0.6010583472886787,0.12214238941669464,0.2997303307056427,0.4186578691005707,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Enterobacter_Cloacae_aucs_per_antibiotic.csv
Proteus_Mirabilis,2372,1517,380,475,104,8,0.920005086815674,0.9208851845524331,0.7081949623604853,0.10752248764038086,0.26215803623199463,0.4027625024318695,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Proteus_Mirabilis_aucs_per_antibiotic.csv
Staphylococcus_Hominis,780,499,125,156,104,13,0.8770767566285773,0.8769470321324692,0.7396458660589509,0.14320562779903412,0.3120996952056885,0.40711697936058044,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Staphylococcus_Hominis_aucs_per_antibiotic.csv
Serratia_Marcescens,1253,801,201,251,104,7,0.9723618077679548,0.9747403121857952,0.6867760733375161,0.1569908708333969,0.3245617747306824,0.41534605622291565,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Serratia_Marcescens_aucs_per_antibiotic.csv
Staphylococcus_Capitis,419,268,67,84,104,21,0.9093529256987876,0.9399934756350234,0.7899362501926727,0.13939817249774933,0.2918948829174042,0.3664015531539917,/export/usuarios01/egarroyo/MALDI_for_AMR_prediction/src/VAE_Generative_AI/aucs/Staphylococcus_Capitis_aucs_per_antibiotic.csv
